id,comentario,clasificacion_seguridad
101,"Tengo un problema, no puedo ingresar a la aplicación, coloco mi clave y se cierra la app. Necesito una solución al respecto. Pésima aplicación.",not_applicable
102,"cuando funciona, funciona bien",not_applicable
103,Antes funcionaba mejor!,not_applicable
104,bien,not_applicable
105,sigo sin solucionar el mismo problema la app se cierra,not_applicable
106,que es lo que pasa conmigo por dios es increíble,not_applicable
107,pésimo para pagar servicios siempre me sale espera un minuto,not_applicable
108,esta lento,not_applicable
109,"Cada vez que intento hacer una transferencia o pago, sale error y no permite realizar la gestión",not_applicable
110,mala experiencia no me deja abrir mi aplicativo de bcp a mi celular me obligan a tener clave de bloqueo y Yí no quiero no me gusta tener en mi celular clave de desbloqueo cada vez queno lo uso,authenticity
111,No funciona a cada rato se apaga.,not_applicable
112,Bien,not_applicable
113,"no puedo yapearme o hacer pagos, ni pedir token digital, sale error y nada",authenticity
114,no sé abre .. el aplicativo,not_applicable
115,"no me deja ingresar, directamente me expulsa",not_applicable
116,😊,not_applicable
117,mala,not_applicable
118,La aplicación de Bcp muchas veces se malogra y piden muchas actualizaciones y eso incomoda al usuario,not_applicable
119,"a pesar que configuro mi tarjeta para evitar compras por internet, han habido veces en que algunos aplicativos se han cobrado sin mi consentimiento, es la unica queja que tengo, porque todo funciona bien.",integrity
120,fallando,not_applicable
121,es muy tedioso,not_applicable
122,"desde ayer no puedo hacer pago efectivo, igual intente en banca por Internet y nada, que paso?",not_applicable
123,no puedo ingresar,not_applicable
124,"no me funciona desde hace unos meses, instalo y desinstalo y nada :(",not_applicable
125,es dificultoso,not_applicable
126,no se puede ingresar con huella digital,authenticity
127,Deben de poner un notificado de deposito,not_applicable
128,No pude ingresar,not_applicable
129,mejoren los detalles de movimientos de la cuenta es la única aplicación de banco mas basica,accountability
130,no abre rápido,not_applicable
131,"Estoy presentando muchos problemas como no me deja activar o desactivar compras por Internet, además que no funciona la opción retiro sin tarjeta",authenticity
132,Porque no se puede descargar la app en el equipo Huawei y7 2019,not_applicable
133,no me deja ingresar,not_applicable
134,"como es posible que no lleguen las notificación de una transferencia recibida o de algún yapeo, porque yo uso yape desde el app",not_applicable
135,entro a la plataforma y mi pantalla se pone blanco y negro...,not_applicable
136,pésimo servicio,not_applicable
137,"no funciona adecuadamente, se cierra al Apple y no da solucion",not_applicable
138,No pasa nada falla mucho,not_applicable
139,éstos últimos días la app tiende a cerrarse al momento de ingresar mi clave de internet.,not_applicable
140,"no me envíen al navegador por que no pondré mis datos en una página farmeada, dejenme iniciar sesión desde la app",authenticity
141,hace como 2 meses instalo reinstalo y sigue fallando ya no sé qué hacer con el aplicativo,not_applicable
142,"chevere tu servicio para actualizar, arregla esa porquería",not_applicable
143,"desde hace varios meses que no puedo iniciar sesión, al ingresar mi clave la aplicación de cierra inmediatamente.",not_applicable
144,Cambie mi chip a otro celular y no me deja abrir la app. no me gusta.,not_applicable
145,buenas no puedo realizar transferencia solo puedo hacer una operación y luego se cuelga el app,not_applicable
146,"solo abre una vez y después no lo hace, si quiero volver a usar la APK tengo que borrar datos, desinstalar y luego volver a instalar o reiniciar mi celular",not_applicable
147,"Desde hace tres meses no puedo ingresar a la aplicación, instalo y desinstalo y nada",not_applicable
148,ase varias semanas ya con el app instalado .pero al momento que ingreso mi contraseña digital no ingresa .,not_applicable
149,no me deja crear mi clave de internet sale error siempre le doy una estrella y lo cancelo ya no quiero😡😡😡😡,authenticity
150,no me deja entrar ala aplicasion,not_applicable
151,no funciona nunca.,not_applicable
152,bueno,not_applicable
153,apenas lo istalo y se sale de aplicacion,not_applicable
154,quiten el bloqueo en la aplicacion sinceramente que estresa de verdad eso es mi sugerencia,authenticity
155,muy lento la app,not_applicable
156,desde ayer esta fallando el token digital y asimismo no puedo realizar el deposito a plazo fijo me sale error . volver a intentar desde ayer favor de solucionar,authenticity
157,no funciona se cuelga el sistema,not_applicable
158,sería genial que se pueda acceder a la app con huella digital para evitar poner la contraseña y que lo puedan ver,authenticity
159,No logra ingresar,not_applicable
160,no funciona en mi dispositivo,not_applicable
161,"buenas tardes , pero deberian mejorar la App para mejor usó, no es posible que halla instalado más de una vez y aún así no funciona ni ingresa a la app",not_applicable
162,"Funcionaba decentemente hasta finales de Junio 2025. Ahora ya no permite pagar servicios, van varios días con ese problema. Se tendrá que cambiar a Interbank ya que ellos fallan menos",not_applicable
163,"buenas noches, hoy me pagaron, pero no me subió el crédito, es mi primera vez que me sucede esto, de la nada abro mi cuenta y no encuentro mi pago de la semana, por favor necesito una solución",integrity
164,una buena atención muy amable,not_applicable
165,no funciona esta app,not_applicable
166,"no sé puede ingresar a la app , uno actualiza el teléfono , instala nuevamente la app y nada pésimo el servicio",not_applicable
