id,comentario,Clasificacion_ISO_25010
1,prácticamente una porquería de aplicación no me servido nada no puedo ingresar,not_applicable
2,"No entiendo por qué han actualizado y creado el aplicativo de BBVA más complicado, antes podía ingresar con mi huella , ahora me pide que ingrese con mi contraseña, no entiendo por qué hacen eso , que fastidioso 🤦🏽‍♀️😭😫😩😩",authenticity
3,"Una desgracia, el app no abre, intente todo, desinstale y el lector no reconoce mi tarjeta para activar el token, y no esta disponible las otras opciones para activarlo, inmovilizada con mi cuenta, pésimo servicio.",authenticity
4,"aplicación no diseñada para personas de 84 años, un parto para ellos usar el token digital con escaneo de código QR, experiencia de usuario bajo cero, no la recomiendo bajo ningún concepto a pesar de que quieren simplificar con tecnología y hacer segura las transacciones, mala mala mala para adultos mayores.",authenticity
5,"Lamentablemente pesimo, la app presenta dificultades para ingresar. Después de su última actualización fatal.",not_applicable
6,y van dos veces que no me sale mi dinero en mi cuenta sueldo de BBVA eh yaoeado con plin desde mi yape que está pasando 😞,integrity
7,"No se puede hacer el plin, me sale error intenta hasta más tarde. es peor",not_applicable
8,lento para poder pagar mi tarjeta de crédito por la app. mil veces mejor retirar en cajero de otro banco e ir al banco para pagarles.,not_applicable
9,No puedo ingresar a mi cuenta escaneando el QR es un pésimo servicio al cliente. Además de eso cuando se llama al número lo ayuda en nada,authenticity
10,"no puedo activar mi tarjeta débito para hacer compras por internet, por favor solucionen ese problema, siempre que quiero activar mi tarjeta me sale error y me dice que me comunique con el banco. por favor solucionen ese inconveniente.",authenticity
11,muy mala.. quiero afiliarme por primera ves por código QR y me sale error en la aplicación.. inicie nuevamente.. y así para error en la aplicación.. no puedo escanear mi código QR de mi tarjeta nueva..,authenticity
12,"NO SE PUEDE PLINEAR Y SE DEMORA MUCHO AL INGRESAR, GIRA Y GIRA Y NO INGRESA AL APP, MUCHA FALLA ESTA TENIENDO",not_applicable
13,"La app no permite ingresar carga eternamente y no es mi conexion, no se si habrá algun problema ahora con la app?",not_applicable
14,"uno quiere depender del aplicativo, pero inhabilitando, a estás horas de la que nesecito pagar . no es justo. cómo pago la cuenta del chifa. malísimo",not_applicable
15,son ladrones cobran mucha comisión,not_applicable
16,👍,not_applicable
17,soy Fernando Oriol dni 10343310. NO PUEDO PLINEAR....DESDE 12 HORAS UNA VERGUENZA DELANTE DE MIS AMISTADES NO PUDE PAGAR MENU. POR 30 MINUT. LLAME A SOPORTE NO SOLUCIONARON EL TEMA.SON LAS 21 HORAS Y CONTINUO SIN PLINEAR 🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬,not_applicable
18,muy mala la app no deja activar el token sino reiniciar sale error intente mas tarde malazo no sirve le pondría 0 estrellas pero no permite,authenticity
19,últimamente no abre y te dice a ocurrido un error,not_applicable
