id,comentario,Clasificacion_ISO_25010
1,mala aplicación,not_applicable
2,"pues llevo buen tiempo queriendo ingresar y no me deja ,x eso lo pongo cero ,está de mal en peor,en vez de mejorar , está que dificulta poder ver nuestros ingresos y na.,estoy descontenta con esta aplicación que me trae frustración al no poder entrar a mis cuentas , que está pasando. Pónganse las pilas en dar mejora ,para que otros clientes no tengan el mismo problema con su aplicación ,al principio estaba todo ok y ahora malo , malísimo ,pésimo, en serio lo pongo 5 si estuviera ok ,no me sirve",not_applicable
3,no sé puede ingresar a la aplicación,not_applicable
4,"siempre cuando uno necesita no hay sistema o están en mantenimiento o no está disponible, pésimo servicio por lo menos coloquen más cajeros automáticos para no usar esta app",not_applicable
5,"Hola saludos, Quisiera hacer una sugerencia del aplicativo, me gustaría que el ""saldo disponible"" este oculto y tenga la opción de ver saldo por favor. Cuando quiero hacer transferencia por celular y pregunto el número, no me gusta que sea visible el monto que tengo, ni al entrar, ni al hacer envio. Espero lo tomen en cuenta por favor. Gracias.",confidentiality
6,"ingrese a la app para actualizar mi contraseña una ves terminando el proceso me dice máximo de intentos permitido, intente más tarde ni siquiera intente dos veces solo ingrese mis datos una ves sin cometer error alguno. Areglen este problema por favor.",authenticity
7,No sé a qué se debe está aplicación me sale depurara USB y no me deja hacer instalar el aplicativo en mi movil,not_applicable
8,"tiene fallas al ingresar al aplicativo, siempre ocurre eso ya deberían solucionar ese problema hasta ahora nada",not_applicable
9,no acepta mi clave virtual,authenticity
10,interesante,not_applicable
11,Está bien algo práctico,not_applicable
12,kiero mi clave de internet para ingresar a mi cuenta,not_applicable
13,"Estoy intentando ingresar y me dice datos inválidos, pésimas actualizaciones",authenticity
14,por qué me sale debes activar los servicios de Google para poder usar la aplicación??,not_applicable
15,Debería activarse la clave dinámica digital a través del celular así como otras bancas móviles sería mucho mejor para no ir hasta una agencia eso quita tiempo arreglen eso gracias,not_applicable
16,"está horrible ahora ni recargar yape puedo me sale la opción de ""no sé puede hacer está recarga "", para colmo en 5 intentos ya te bloquean por qué hora ni si quiera especifica el porque no se puede hacer, para colmo me ""bloquean temporalmente o permanentemente mi clave digital"" antes de actualizar estaba mejor ahora es un asco. Se supone que lo descargue para más facilidad al no ir a agentes o al cajero y me complica la vida al contrario.",authenticity
17,muy buena,not_applicable
18,Pesimo. El retraso en el obtener la clave digital para poder hacer una transferencia es enorme. Cuando me llega la clave ya se ha pasado el tiempo de validez de esta y no me permite realizar la transferencia.,authenticity
19,"toda la semana estoy instalando, desinstalando el aplicativo y está con errores, ni tengo idea por qué no abre bendito aplicativo ashh",not_applicable
20,nunca llega la clave del token digital,authenticity
21,"No se puede utilizar la aplicación, en varias ocasiones sale un mensaje de activar los servicios de Google, a pesar de que ya activé todos los servicios sigo sin poder utilizar la aplicación. 👎",not_applicable
22,"Por favor verificar el aplicativo, está congelado y no permite ingresar al app.",not_applicable
23,"pésimo, pésimo a los programadores xf actualicen que la app sea más fácil no lo empeoren; pa yaperar s/. 3 te pide clave dinámica que nunca llega xf no joroben. no puedo yapear pide la clave dinámica",authenticity
24,no me solucionan la banca por Internet,not_applicable
25,buena app,not_applicable
26,.no permite ingresar a la banca móvil,not_applicable
27,no funciona,not_applicable
28,La aplicación está mazo menos les falta lo más importante Lo malo es q no se ve la hora en hora de retiró,not_applicable
29,xq sale que debo activar los servicios de Google para hacer uso de la aplicación normal funcionaba pero ahora me sale eso y no puedo ingresar gresar,not_applicable
30,"muestra fallas últimamente, cada vez q quiero ingresar m sale error, no envia los códigos de verificación, una perdida d tiempo",authenticity
31,siempre sale clave dinámica caducó,authenticity
32,no me permite ingresar con mi clave...,authenticity
33,"me gustaría que me respondieran se me cerró la tarjeta por eliminar la app y no me deja transferir dinero, la app no funciona correctamente deberían arreglar eso, soy único usuario y me sale que por eliminar la app y volver a iniciar sesión no puedo hacer transferencias 😀",not_applicable
34,empieza fallar el aplicación,not_applicable
35,"Deben activar la captura de pantalla para poder guardar mis movimientos. Así mismo actualizar a la opción OCULTAR SALDO Y MOVIMIENTOS, sólo cuando el usuario lo desea puede activar y desactivar, para tener más privacidad.",confidentiality
36,Muy bien,not_applicable
37,"La aplicación es muy lenta, al querer realizar pagos no llega la clave dinámica, mejor se retira en un cajero.",authenticity
38,"Que tipo de actualización realizan?? Por que no se notan estas actualizaciones en la app? Solo generan delay en la activación de la aplicación.. Malaso! Ahora ni siquiera se puede tomar captura de pantalla, almenos deberían implementar la opción de visualizar el movimiento como comprobante y la opción de compartir. tal como lo hace el Yape",accountability
39,antes me funcionaba bien pero desde un tiempo me pide activar los servicios de Google y ya no me deja abrir la aplicación,not_applicable
40,tienes fallas y varias veces no esta disponible no funciona cunaod lo necesito al momento de hacer transferencias,not_applicable
41,por que app se tiene que actualizar a cada rato 😡,not_applicable
42,no abre el apps del banco de la nacion.,not_applicable
43,la aplicación no abre. lleva días en lo mismo,not_applicable
44,Pésimo servicio no se puede realizar yapeos solucionen ese problema,not_applicable
45,No pasa nada,not_applicable
46,es un fracaso no se puede ingresar le hace falta ajustes avanzados,not_applicable
47,su puede abrir,not_applicable
48,Peor de todos en este 2025.. No entraba lo desistalo y vuelvo a instalar y no quiere transferir.. Es un asco esta apss.. Quienes trabaja ahí?,not_applicable
49,no funciona,not_applicable
50,"es reecontra lento para compartir el comprobante y encima no se puede capturar por que la app no lo permite. deberian permitir la captura de pantalla, sirve mucho.",accountability
51,"una porquería esta APP, a cada rato presenta fallas por cualquier motivo, se espera mejoría",not_applicable
52,no entiendo porque se cogen tanto de comisión del mismo día cobran todo que mal... y que aburrido no poder transferir como el yape.... tenemos que ir a la agencia del BN 🤨😡😡😡😡,not_applicable
53,"No puedo generar mi clave de internet, ya lo intente varios días y todavía no consigo entrar a mi cuenta.",authenticity
54,mitarjeta esta blokiada,not_applicable
55,no puedo ingresar a banco de la nación,not_applicable
