id,comentario,Clasificacion_ISO_25010
1,no me permite entrar a la app dice q actualice y no puedo xq me pide clave dijital y no me envía a mi correo,authenticity
2,una basura,not_applicable
3,"Hace varios dias que intento activar biometria y no se puede hay un error ahi y eso me genera disgusto es no poder acceder con rapidez, deberian tomar en cuento estos comentarios para implementar mejoras lo antes posible.",authenticity
4,No sé puede registrar la huella dactilar,authenticity
5,me sale que tengo que actualizar mi celular o de lo contrario ya no podré entrar a la aplicación... el otro es que ahora tengo que poner mi DNI y contraseña (ya no se guarda la cuenta) como antes ... desde que lo actualice está así feo,authenticity
6,"Fallas al entrar, para mandar un SMS se demoran bastante. Muy molesta a la hora de hacer operaciones.",authenticity
7,"Una reverenda porquería el aplicativo, contraten gente que sepa hacer las cosas bien.",not_applicable
8,Muchas fallas,not_applicable
9,"Estos últimos días he estado intentando ingresar y me sale un mensaje de error en la aplicación vuele a intentarlo más tarde.Luego volvía a intentarlo y volvía aparecer el mismo mensaje, ahora no puedo revisar mis movimientos. Muy mala experiencia ojalá arreglen pronto.",not_applicable
10,me sale error en la aplicación siempre,not_applicable
11,"no sirves de nada a partir de la media noche y eso que tienes pin , te quedas con el dinero de uno cuando uno quiere pagar el pin no sirve de nada a partir de la media noche",not_applicable
12,Hay error en la aplicación no me permite activar biometria,authenticity
13,ayer abrí mi cuenta y aún no puedo configurar mi perfil?,not_applicable
14,"Desde hace un mes , no puedo aceder a ninguna plataforma digital dr scotiacbank y eso es mu molesto porque no puedo hacer nada .",not_applicable
15,"Quien sabe que hora funciona esta aplicación, primera vez que hallo con horrible servicio🤣",not_applicable
16,"Cada vez está peor la app, en la noche deja de funcionar, la biometria no funciona y es un martirio cuando te confirman la clave por sms, se demora mucho en abrir la app",authenticity
17,"Pesima app, casi siempre con errores y cuando intentas pagar con la app te pide hasta clave dinámica y para que te salga mensaje de error a si la coloques bien o no y encima después deci transacción realizada en notificación pero cuando revisas, no hay nada pero pareciera que si. Solo compras físicas con la tarjeta porque la app con tantos errores es una molestía!!!",integrity
