id,comentario,Clasificacion_ISO_25010
1,no puedo meter el numero de celular para habrir cuenta,not_applicable
2,no suena cuando llega un yape,not_applicable
3,me gustaría saber x k no suena cuando me yapea,not_applicable
4,no puedo entrar pork no puedo,not_applicable
5,"Lo único malo de Yape es que si por error yapeas a otro número no se puede hacer nada para que puedan devolver, Si Yape está respaldado por BCP es lo mínimo que pueden hacer para así nos puedas devolver ese dinero que por apurados yapeamos a otro número",non_repudiation
6,no quiere entrar yape,not_applicable
7,no puedo usarlo,not_applicable
8,"Por qué no me permite activar la biometría digital o facial en mi teléfono? Desinstalé y volví a instalar la aplicación y sigue saliendo el mismo mensaje: ""ocurrió un inconveniente""",authenticity
9,mala está ap,not_applicable
10,no puedo crear la cuenta,not_applicable
11,aplicación mrd me equivoqué y no puede hacer el cece o devolución del dinero,non_repudiation
12,"Soy menor de edad y no me deja crear una cuenta quiero invertir en algo Pero no me deja ,por eso el país no crece ,hay muchos niños que necesitan o quieren ayudar en su economía Pero la app no deja eso es lo que me frustra 😔😔😔",not_applicable
13,no me deja entrar,not_applicable
14,Muy pésimo la verdad no llegan las recargas Gaming .,not_applicable
15,Le daría 5 estrellas si permitiera abrir la aplicación sin datos.,not_applicable
16,no me permite registrarme con mi tarjeta del banco de la nación,not_applicable
17,me llega al pincho,not_applicable
18,"con la última actualización no se puede acceder a promos sin compartir ubicación, lo cual incómoda mucho",confidentiality
19,no se como ponerle sonido cua do me llega un yape q no se igual a las otras notificaciones,not_applicable
20,pésimo no me deja yapear 1am tengo que pagar en una bodega o hacer un yapeo no me deja pésimo horrible aplicacion me desvinculo,not_applicable
21,magnifico,not_applicable
22,más seguridad necesita yale,not_applicable
23,me gustaría que implementará la recarga de cp de call of duty Mobile para poder recargar,not_applicable
24,"la aplicación tiene fallas, ingresé mis datos según lo que me pedía y no me dejó crear mi cuenta por qué aún no cumplo 18 años, si soy del 2007 como es posible que no tenga 18 si los cumplí hace un mes atras, muy mala la aplicación por esa parte ehh",authenticity
25,"uno puede hacer pagos siendo de Venezuela para Perú, lo necesitoooooooooooo",not_applicable
26,muy buena,not_applicable
27,Bueno,not_applicable
28,"le dare una estrella porque aun el yape no brinda el numero de celular al numero yapeado , :v ,",confidentiality
29,Mucho anuncio oltimamente,not_applicable
30,no me sale el sonido de yape,not_applicable
31,malo,not_applicable
32,"Pésima aplicación, pronto no existira más. Puesto que el sonido de la notificación no funciona en la mayoría de celulares ya sea en Android o iPhone, creando estafas cuando se trata de recibir dinero rápido. Ya que el sonido de la notificación avisaba, pero ahora no lo hace!",integrity
33,me robaron ko instalen yape,not_applicable
34,no me deja hacer una cuenta,not_applicable
35,"tengo un problema al registrarme y es que al escanear mi DNI lo enfoco perfectamente en el cuadro pero la aplicación lo escanea desde un distinto ángulo, podrían poner un apartado en dónde el usuario pueda presionar y tomar la foto o elegirlo desde galería, para evitar esos errores grotescos.",authenticity
36,véngo pagando credito puntuales ahora con la actulizacion me lo quitaron cuando vengo osgando putual por meses ahora no me sale se pasaron me voy cambiar,accountability
37,"tengo un problema para ingresar a mí yape,tengo mi correo y mi clave pero al momento que me solicitan el código que envían a mi número nunca llega para confirmar.",authenticity
38,"No llega los mensajes de texto al crear por primera vez el yape, codigo sms incorrectos a pesar de tener buena señal, y me ha bloqueado por 24 horas. No me deja leer los terminos y condiciones que es muy importante, es muy largo como de costumbre para que al final me diga que ha expirado el tiempo para crear el yape. Como es posible aceptar los terminos y condiciones si la aplicacion no permite mas tiempo para poder leerlos completamente, y no tiene para descargarlo para despues leerlos.",authenticity
39,bien,not_applicable
40,una. basura. yape no puedo ingresar. con mis. datos,authenticity
41,Bueno,not_applicable
42,muy malo no se puede descargar rápido las aplicaciones,not_applicable
43,no puedo abrir mi yape,not_applicable
44,"Se ha vuelto lento, esperar hasta 15 20 segundos que la app reaccione después de una publicidad es un caos",not_applicable
45,"Casi siempre a partir de medianoche su sistema se cae, una emergencia o un pago urgente por salud y no hay manera de hacerlo ya que el sistema presenta error.",not_applicable
