id,comentario,clasificacion_seguridad
1,no quiere fuccionar mis trasferencias,not_applicable
2,bueno,not_applicable
3,"Aplicativo lleno de problemas, puntualmente no permite validar los códigos que supuestamente se le envían a la app para validar en transacciones que se hacen por la web...",authenticity
4,"Desde hace un mes se actualizo el App y desde ahí no me permite ingresar al App, se cierra solo e intento nuevamente y sigue igual, ya reinicie mi cel, borre el cache, desintale y volví instalar el App y sigue igual, pésimo la última actualización del App.",not_applicable
5,genial,not_applicable
6,porquería de aplicación .,not_applicable
7,"No puedo ingresar al aplicativo, antes ingresaba normalmente",not_applicable
8,"Por que cuando intento cambiar mi clave pin, me dice que ocurrió un problema. Siempre dice los mismo.",authenticity
9,"¿Por qué Temu me procesó una compra si mi tarjeta estaba configurada en NO para compras por Internet?. Además, ¿por qué luego de anular esa compra al instante en Temu y reembolsar al banco, el BCP me demora hasta un mes en devolver a mi saldo ese monto, si ya el banco lo tiene desde el día 1?.",integrity
10,está porquería se comió todo mi plata en los guardaditos y ahora que está fallando no puedo sacar nada de dinero,integrity
11,"no me permite realizar transferencias interbancarias, antes si lo podía hacer",not_applicable
12,Buena,not_applicable
13,tengo la aplicación actualizada y sin embargo no deja realizar los pagos efectivo. pesimo...,not_applicable
14,es una app que no sirve ni para nada un asco la app bcp,not_applicable
15,el app no abre,not_applicable
16,"La aplicación la funciona, se cierra solo no deja entrar",not_applicable
17,alguna solución está que se cierra no deja hacer nada uno entra y me vota ayuda,not_applicable
18,Siempre se bloquea o solo sale la pantalla azul,not_applicable
19,La app ya no abre.,not_applicable
20,no sé porque no se me activa la compra por internet y tampoco puedo realizar una transferencia a la aplicación kashin,authenticity
21,"hoy comenzó a fallar el app se cierra solo y sale q CONTINÚA FALLANDO, mi cel es Motorola one macro ni reiniciando funciona, por favor ayuden no se q sucede",not_applicable
22,Su Gafera no da y ds cuando quiere,not_applicable
23,No puedo hacer transferencias o habilitar las compras por internet. Horrible que al comunicarme con su canal de ayuda solo me responda un bot y no haya respuesta inmediata,authenticity
24,"El app no me deja entrar, la memoria cache esta en 0 y tengo espacio en mi teléfono, y no sale que debo actualizar.",not_applicable
25,tengo problemas con la app se congela y se cierra y en whatsapp no me ayudan ya hice de todo esta todo actualizado y aún así sigue fallando,not_applicable
26,está interesante el aplicativo,not_applicable
27,hay un problema no deja hacer transferencias bancarias o depósito bancario,not_applicable
28,"Tengo problemas en abrir el aplicativo, se cierra inmediatamente.",not_applicable
29,"No me pertime abrir la aplicación, se cierra instantáneo.",not_applicable
30,"no puedo hacer transferencia, sale ocurrió error ya son 3 días",not_applicable
31,siempre que quiero entrar se anda colgando la app y tengo que esperar 5 minutos para volver a abrirla,not_applicable
32,"Cada vez que trato de abrir la app se cierra sola, no me aparece el menú ni mensaje de error",not_applicable
33,No puedo habrir la aplicación. Que problema,not_applicable
34,buenas,not_applicable
35,"la aplicación no quiere abrir se cierra inmediatamente y no puedo acceder a mi cuenta ,solucionar",authenticity
36,"el peor bano te cobran en silencio por algo que no has echo, el 21 de este mes me descontaron 25 soles y ese mismo día otros 25 y dice ahí que es por reposición débito, si no me devuelven el dinero voy a denunciar su empresa y juro que ustedes van perder más dinero que yo",integrity
37,se cuelga a cada momento,not_applicable
38,Buena,not_applicable
39,no puedo abrir la app la e descargado y eliminado varias veces y nada como se podría solucionar?,not_applicable
40,"Venia muy bien la app pero desde hoy cuando intento abrirla se cierra automáticamente, intente varias veces y nada, espero puedan solucionarlo en la brevedad.",not_applicable
41,El app dejo funcionar en mi Huawei p20 pro. Antes de la actualización de Julio funcionaba sin problemas ahora no abre el app. Arreglen eso por favor,not_applicable
42,Necesitaba actualizar la información de mi correo y me salía error. Estoy volviendo a instalarla para ver si se resuelve. A alguien más le pasa eso?,not_applicable
43,"se está haciendo muy lento , y aveces las funciones no funcionan",not_applicable
44,la app está fallando y no puedo ingresar dinero a warda,not_applicable
45,"tengo problemas para hacer transferencia a terceros, por favor solucionen lo más pronto posible porque es incómodo ir hasta la agencia.",not_applicable
46,Yo también estoy pasando x el mismo problema,not_applicable
47,"Déjenme sacar el dinero de mi warda, se me regresa la página",not_applicable
48,no se quiere abrir la aplicacion se cierra nomas incombeniencias con esta aplicacion,not_applicable
49,"siempre me salen problemas al realizar pagos como""inténtaloen unos minutos""",not_applicable
50,"Eh actualizado a la última versión y cuando quieres agregar dinero en los wardaditos, aparece el bug y se cierra el app.... 😤",not_applicable
51,tiene falla el chanchito,not_applicable
52,"Intento ingresar a la app y se cierra mucho antes de mostrarse la pantalla de login, celular Huawei",not_applicable
53,Hola hace tres días no puedo abrir mi app Bcp. se cierra inmediatamente cuando toco el logo bcp,not_applicable
