Usuario,Comentario,Calificación
Un usuario de Google,bien,5
Un usuario de Google,excelente,5
Un usuario de Google,"Por que cuando intento cambiar mi clave pin, me dice que ocurrió un problema. Siempre dice los mismo.",2
Un usuario de Google,Lo máximo me saca de apuros 👌,4
Un usuario de Google,Gracias por su apoyo,5
Un usuario de Google,"Funciona bien 👍🏽, sin problemas hasta ahora para mi.",5
Un usuario de Google,buena app,5
Un usuario de Google,muy rápido en transferir sin salir de casa,5
Un usuario de Google,"¿Por qué Temu me procesó una compra si mi tarjeta estaba configurada en NO para compras por Internet?. Además, ¿por qué luego de anular esa compra al instante en Temu y reembolsar al banco, el BCP me demora hasta un mes en devolver a mi saldo ese monto, si ya el banco lo tiene desde el día 1?.",3
Un usuario de Google,muy buena,5
Un usuario de Google,muy buena,5
Un usuario de Google,excelente,5
Un usuario de Google,Funcionaba muy bien.....pero ahora no puedo instalar la app en mi celular...,4
Un usuario de Google,El mejor banco eficiente y rápido,5
Un usuario de Google,very good,5
Un usuario de Google,Innovar nuevas monedas 🤗,5
Un usuario de Google,"Soporte arregló el fallo, ya se puede transferir",5
Un usuario de Google,todo conforme con este banco ya tengo trabajando más de 5 años,4
Un usuario de Google,exelente,5
Un usuario de Google,go,5
Un usuario de Google,"Muy cómodo sus servicios para usarlo sin tener dificultades, Buena app",5
Un usuario de Google,un 10 de 10buena,5
Un usuario de Google,está porquería se comió todo mi plata en los guardaditos y ahora que está fallando no puedo sacar nada de dinero,1
Un usuario de Google,"no me permite realizar transferencias interbancarias, antes si lo podía hacer",1
Un usuario de Google,muy rapida y facil de usar,5
Un usuario de Google,Buena,3
Un usuario de Google,excelente 👌,5
Un usuario de Google,muy buena en todo,5
Un usuario de Google,Muy buena,5
Un usuario de Google,"impresora, muy bueno, se recomienda",5
Un usuario de Google,la vanca mobil es muy buena,5
Un usuario de Google,tengo la aplicación actualizada y sin embargo no deja realizar los pagos efectivo. pesimo...,1
Un usuario de Google,genial excelente,5
Un usuario de Google,excelente,5
Un usuario de Google,Muy importante,5
Un usuario de Google,funciona bien,4
Un usuario de Google,es una app que no sirve ni para nada un asco la app bcp,1
Un usuario de Google,excelente,5
Un usuario de Google,es muy buena,5
Un usuario de Google,excelente,5
Un usuario de Google,el app no abre,1
Un usuario de Google,Muy bueno y facil,5
Un usuario de Google,"si es bueno, fácil y rápido",5
Un usuario de Google,excelente,5
Un usuario de Google,excelente,5
Un usuario de Google,Exelente,5
Un usuario de Google,Las transacciones se hacen rapido,5
Un usuario de Google,"La aplicación la funciona, se cierra solo no deja entrar",1
Un usuario de Google,Genial,5
Un usuario de Google,muy buena,5
Un usuario de Google,"rápido,fácil y seguro",4
Un usuario de Google,alguna solución está que se cierra no deja hacer nada uno entra y me vota ayuda,1
Un usuario de Google,muy buena.. fácil de usar y depositar,5
Un usuario de Google,Lo mejor de todos los bancos,5
Un usuario de Google,Muy bien gracias,5
Un usuario de Google,Muy bien,5
Un usuario de Google,excelente,5
Un usuario de Google,Siempre se bloquea o solo sale la pantalla azul,2
Un usuario de Google,La app ya no abre.,1
Un usuario de Google,excelente muy rapida,5
Un usuario de Google,exelente app,5
Un usuario de Google,👍,4
