ID,Comentario_Original,Clasificacion_ISO_25010_2023
1901,"Pésima App, no me parece esta nueva actualización, ya que te limita de muchos servicios que el anterior SI tenía... No se puede activar token digital y la opción de operaciones frecuentes fatal. Por favor mejorar esta nueva versión porque los clientes se están perjudicando.",authenticity
1902,Sinceramente esta ultima actualizacion la fachada esta bonito pero lo interno es terrible los menus escondidos todo esta fatal antes la plataforma era mas sencilla y encontrabas con unos clicks lo que buscaba hice un pago de 17 soles a sedapal el 8 de julio y hasta la fecha no lo procesan pero si ya esta descontado de mi cuenta.,integrity
1903,Nunca tuve problemas pero está actualización si la está dando en primer lugar no se puede activar el token digital y la única opción que te dan es llamar al banco que para que te atiendan es esperar más de media hora y segundo la aplicación se buguea mucho se cierra solo o la pantalla se queda paralisada obligandome a reiniciarla constantemente en fin no se que hicieron pero la app está pésima,authenticity
1904,"Es molesto estar redactando un reclamo en el libro virtual y que al enviarlo salga error , la aplicacion se quede cargando , tener que cerrarla y redactar el reclamo nuevamente lo mas rapido posible , la aplicacion tiene fallos y errores constantes al realizar distintas operaciones que no solucionan",not_applicable
1905,"No me permite pagar mi préstamo con tiempo, solo se habilita antes de 3 días de la fecha final con lo que me deja con poco margen de error y si me paso pago penalidad. Solo dicen que lo podría hacer desde Internet o en físico... entonces para que hacen la app???? Esta orientado de que se nos pase la fecha y pagar penalidades.",not_applicable
1906,"Desde la última actualización no puedo pagar mi tarjeta x el aplicativo sale cargando para pagar el monto y nunca carga ,quisiera q arreglen ese tema ya la desistale y la volví a instalar pero nada e borrada memoria cache y nada desde el mes pasado estoy con ese problema llame y me dijeron q probablemente era por q estábamos en 15 pero ya pasó quincena y nada x favor una pronta solución .",not_applicable
1907,"No deseo token, la manera antigua es mas segura. Ya no puedo ni ver mi saldo. el lugar de mejorar lo malogran. Esto ya no es seguro porque ahora ya no tienes control porque la clave es automatica y en caso de robo te pueden vaciar tu cuenta y ya el banco no se hace responsable. Ultima actualizacion 26.7.2020, 95MB que barbaridad.. Que ineficientes. 1 millon de descargas. Claro obligadas no porque sea bueno.",authenticity
1908,"Deberian de dar mas informacion sobre los pagos de servicios y tarjetas y asi evitar perjuicios por desinformacion a usuarios, yo pague un dia sabado por el aplicativo una tarjeta de otro banco y nunca la app me alerto de que el pago demoraria 2 dias habiles en procesar y ya me cargaron una penalidad altisima por culpa de su falta de informacion, pesimo!",non_repudiation
1909,"¡Qué fea aplicación!, la versión anterior estaba mejor. Por todos lados me aparece anuncios, ya no visualizo ""lukita"" y hasta demoré en hallar el botón salir. Ojalá puedan mejorarla para Bien, para beneficio de todos sus clientes.",not_applicable
1910,"Ya voy trabajando con ustedes otros nuevos 8 meses pero es la app de bancos más lenta que existe, ni reiniciando el equipo permite hacer los pagos de servicio. Permite cuando se le da la gana, todo es lento, se desactualiza. Todo mal, pésimo.",not_applicable
1911,"Es una porquería la aplicación, desde noviembre del año pasado estoy intentando entrar al App y me sale que ocurrió un error que lo intente más tarde, así estuve hasta el día de hoy que me fui al banco donde ingresé a plataforma y me dijo k bloquee mi tarjeta actual y saque otra tarjeta en ventanilla lo cual me dijo k vale 20 soles, ise todo ese trámite e intento entrar al App del continental y me sale nuevamente ocurrió un error inténtalo más tarde, que hago señores del Banco Continental?",not_applicable
1912,"Escribo esto para que tomen cartas en el asunto. Se me actualizó y ahora es todo menos buena, esta pésima quiero cambiar de cuenta para transferir y no me permite,,, y cuando pongo un recibo para pagar me dice que no tengo deuda, y entonces lo veo desde otra app y si tengo. Mal servicio en serio, muy mal, hasta tengo miedo usarla porque solo reniego.",integrity
1913,"Un asco de aplicación, cero intuitiva, no funciona su lector biométrico... Ah! pero eso sí, si de publicidad se trata te la menten en la primera pantalla y a cada rato. No me sorprende que tengan 2.6 estrellas de calificación. Vergüenza... Aprendan del Interbank, esa si, mis respetos.",authenticity
