id,comentario,etiqueta
1201,"Esta pésima esta actualización con la versión anterior tenía ofertas con esta nueva actualización me sale que no tengo ofertas ,es como sino me reconociera como cliente ,aparte al querer abrir el aplicativo me sale ocurrió un error ,estamos trabajando en eso ,inténtelo más tarde ,otra cosa q en la versión anterior el monto de las cuentas estaba oculto y tenía la opción de mostrarlo o no ,ahora con esta versión no tiene esa opción siempre está a la vista ,muy pésima está actualizacion .",confidentiality
1202,"Llevo un tiempo desde que lo desinatalé por que me cansaba que acada rato cuando lo necesitaba pedia actualizar y aveces no entraba por q decia que ocurrio un error y los encargados lo estaban solucionando. Pero despues de mucho tiempo hoy me lo vuelvo a instalar y me parece lo mismo ""ocurrio un error y lo estamos solucionando"". No lo recomiendo, tiene que ver otra app que sí sirva como debe de ser para todo el publico que realmente lo necesite",not_applicable
1203,"Hay un bug con la activación del token digital, estoy tomando la foto para activarlo, supuestamente la realiza y me redirige al mensaje para tomar la foto. No me genera ningún mensaje de error ni de validación incorrecta, por lo que termina en un bucle infinito entre tomarse la foto y el mensaje para tomar la foto. Estoy usando un samsung A54 y la app está actualizada.",authenticity
1204,"En general la app está bien. Los principales defectos que encuentro es la falta de opciones para compartir los voucher de operaciones a WhatsApp como si lo tiene INTERBANK, por lo que tengo que tomar captura de pantalla y hacer todo más tedioso. La carga de la app es un poco lenta.",accountability
1205,"De verda da colera cada rato actualizaciones ..... cansa a una, sobre todo por que cada vez pesa más, deberia a ver opción para las personas que no quieran actualizar ya sea porque tienen poco espacio en su celular o que no quieran simplemente, ;/. Es una barbaridad.... Por favor para todo público debería de sar buen servicio.",not_applicable
1206,Las últimas 2 actualizaciones terribles malazos. Para usar la app del bcp obliga a colocar seguridad de bloqueo al teléfono a nivel general. Se supone que ahora los teléfonos ya tienen la opción de colocar método de seguridad a las app de forma individual sin necesidad de estar bloqueando todo el equipo. De momento tendré que usar otro banco para que no interfiera en la agilidad de mis operaciones.,authenticity
1207,"Hola. Le puse 5 estrellas desde un principio. Pero hoy le dejo 3 pues últimamente surgen muchos errores. Hoy por ejemplo, me pide actualizar para poder ingresar pero no hay actualizaciones. Regreso y sigue pidiendo una actualización que no existe. Bueno esperaré a ver qué pasa pero, ¿qué tal si tuviera que hacer una transacción urgente? No pueden ir a peor por favor.",not_applicable
1208,"No puedo abrir la aplicación hace como 20 días, al principio si abría pero ahora no abre solo muestra la pantalla azul BCP y necesito ingresar ya que veo mis movimientos, hago transferencia y es importante para mí día a día. Su ayuda porfavor, ya desinstale la aplicación miles de veces, mire videos para alguna solución (hice todo pero igual sigue sin arrancar) porfavor ayúdenme.",not_applicable
1209,Desde mayo de este año 2025 no me permite hacer casi ninguna operación y rechaza todas las solicitudes. Que perdida de tiempo y abuso inaceptable.,not_applicable
1210,"Una basura la actualizacion a version 7.1 para Android, hay algunos que ni usamos el celular salvo para manejar nuestros ahorros y ahora con esto nos obliga a comprar un nuevo dispositivo compatible con la version de la asquerosa app, y no, no se puede actualizar el android, ya no soporta o no hay",not_applicable
1211,"Parece increíble, pero no puedo ver las operaciones completas del día, solo una cantidad limitada, si sobre paso ese número, el resto de operaciones las podré ver al siguiente día con el filtro, pero si necesito confirmar una depósito que me hicieron temprano.. No puedo porque como hay un montón de yapes, esa fila ya no se visualiza, otro punto es que antes podías ver el número de operación de una transacción, ahora ya no. Por favor corregir.",accountability
1212,"A un comienzo el aplicativo funcionaba muy bien, según a él tiempo con cada actualización la aplicación a ido decayendo hasta el punto de no poder ingresar y notar mis movimientos y estado de cuenta ; a este paso solo harán como cliente de la banca bcp , confie en otra identidad financiera para poder tener la confianza de poder notar mi estado de cuenta en otro app y banco.",not_applicable
1213,"Caraj@ arreglen su aplicativo como van a lanzar una actualizacion con todos esos errores de cada 10 intentos de ingreso solo 1 o 2 ingresan para luego demorar en cargar informacion o en ultimo caso no se puede visualizar movimientos, el peor app para banca movil, el peor banco. Mil veces interbank creo.",not_applicable
1214,"Esta aplicación necesita urgente una actualización o mantenimiento! exactamente ya un mes que tiene problemas tanto en iniciar sesión como en transacciones. Ahora desde hace 2 semanas tienen problemas para hacer pagos, transferencias, pago de servicios y otras cosas. Prácticamente no sirve para nada, por favor trabajen de manera rápida en todo esto que lo único que logran son clientes que se pasan a otros bancos",not_applicable
1215,"Sinceramente estoy cansada,la app viene fallando ya desde la semana pasada, intento ingresar y no carga el teclado de clave,cuando logro ingresar no carga mi token,se demora y encima me sale que ocurrió un error. No entiendo me pueden estar robando y no puedo ingresar por esta gran falla. Que pésimo confíe bastante en la app y mira el resultado.",authenticity
1216,"No puedo instalar la actualización, me sale error siempre, desinstalé y volví a instalar, y sigue con el mismo error, deberían arreglar eso, pues necesito hacer transferencias y pagos, además de ver mi saldo, que por culpa de los errores que tiene la app ya no puedo hacer, SOLUCIONENLO!!!!!",not_applicable
1217,"Hasta hace poco la aplicación ha estado funcionando con normalidad . Hoy he tratado de abrirla y se cierra automáticamente. Le desinstalado y he vuelto a instalar , reinicio mi celular y no funciona ,no levanta , solo sale el logo de la app y al abrirla continua cerrándose . Por favor necesito alguna solución a este problema .",not_applicable
1218,"Si se le pudiera poner 0 estrellas a esta aplicación no lo dudaría ni un segundo. Te obliga a actualizar la versión o sino no lo usas te bota, intento abrir mi cuenta desde un teléfono de un familiar que ya tiene la app y no me permite. Borro la aplicación y la instalo de nuevo y me pide confirmación de correo. Se busca una app que te dé acceso rápido y seguro a tu información. En resumen me cambio de banco",authenticity
1219,"Vuelvan a la aplicación anterior urgente!!!, esta aplicación es muy pero muy pesada, la anterior versión era más amigable, liviana y fácil de realizar pagos, ahora solo puedo usar otras apps de otros bancos, porque esta app no carga y lo peor de todo cuando carga no está la opción de universidad para realizar los pagos correspondientes. Ayudaaa",not_applicable
1220,"La aplicación no me funciona desde la última actualización. Se congela la tratar de ingresar para ver mi saldo y hacer transferencias, ingreso mi clave y de frente me envía a un apartado que exige que pongamos la forma de navegación pero se da en guardar y al final nunca carga se congela y termina por salir del aplicativo. Muy mal pésimo servicio.",not_applicable
1221,"La actualización está matando ésta app ya no sirve y cada vez ponen trabas para su correcto funcionamiento, la verdad que deben priorizar solucionar lo más pronto posible en plena pandemia que urge tener una herramienta así para evitar aglomeraciones y largas colas en las agencias, ya no puedo ingresar a la app, me sale que tengo que actualizar mi sistema operativo y es que más no puedo hacer, salvo que piensen en que deba comprar un nuevo celular de última generación, eso ya no sería honesto",not_applicable
1222,"Es una porquería de App esta presentando fallas que SON MUCHISIMAS Y MUY SEGUIDAS coloque la clave para ingresar y me dijo que era incorrecta y no es así, siempre la coloco y me bloqueo hasta el día próximo teniendo un gran apuro para solucionar un pago.... de veras todo lo que confiere a internet con el BCP es un asco. Deberían invertir un poco más en su plataforma... no creo que no tengan dinero para tecnología.",authenticity
1223,"La aplicación es buena y manejable, solo que debería incorporar dos cosas para que pueda ser completa, primero token por huella digital usando el sensor de smartphone y segundo deberían añadir la opción de poder hacer un giro a nivel nacional para personas que no tengan tarjeta y que puedan cobrar por un agente, creo que este último si es necesario. Poder hacer un giro desde la app seria excelente y nos ahorraría colas interminables en los agentes y otros lugares.",authenticity
1224,"Por más que pongo mis datos correctamente, me aparece el mensaje de que mis datos están incorrectos. Cambie la clave de internet, desinstalé al app y lo volví a instalar y creé una nueva clave de internet, pero nada. Ya van dos días que no puedo ingresar a mi cuenta y contaba con que está app facilitaria mis pagos. Muy mal",authenticity
1225,"Ya es la segunda vez que tuve que actualizarlo de manera obligatoria porque sino no me permite acceder a mi cuenta, de verdad que es molesto porque no tengo el espacio en la memoria de mi celular y solo me queda eliminar algunas de mis app o archivos. Espero que solucionen el hecho de que cada vez ocupe más memoria su banca móvil.",not_applicable
1226,"Me funcionaba bien, pero lo que no me gusta es que tiene demasiadas actualizaciones, estoy ya desde casi 1 mes que intento actualizar a la última versión y no me deja, también si desinstalo la aplicación para volverla a instalar se borra el token digital. Además, demora un montón en llegar el número o código de validación. Pará iniciar sesión, llevo como 2 horas esperando y no llega nada. Pésima aplicación.",authenticity
1227,"Esta app era buena en sus inicios, actualmente no tengo la posibilidad de ingresar a su app para poder revisar mis movimientos o estado de cuenta, ya que cuando la app se inicio aparece ocurrio un error, llevo asi mas de 6 meses y la verdad es que es desesperante hasta el momento con las actualizaciones que sacan no haya progresado ni lo mas minimo en corregirlo.",not_applicable
1228,"Señores, a ver si revisan la aplicación, no me deja hacer pagos. no sé por qué pues, estaba funcionando con normalidad, funciona con normalidad, pero el botón de ""CONFIRMAR"" no aparece como activo. Tal vez sea porque mi teléfono Huawei actualizó su SO a EMUI 10 y tal vez no es compatible. Ojalá puedan corregir este problema...",not_applicable
1229,"Llevo 2 días tratando de actualizar la aplicación, porque de otro lado no puedo ingresar, y sinceramente no descarga al 100%, pensé que era mi internet o mi teléfono pero veo que hay varios usuarios con el mismo problema, no entiendo el objetivo de obligar al usuario a actualizar el app a una versión que ni siquiera es posible completar la descarga. En fin",not_applicable
1230,"Seria bueno si solucionan los problemas de la App, 1000 intentos de abrir la aplicación y lo único que dice es ""estamos trabajando para brindarle un mejor servicio"" yo digo cuando terminaran de trabajar por q el servicio sigue pésimo, malisimo. Lo mismo que nada si no abre la aplicación para hacer mis operaciones por q de todas maneras tengo q ir a un agente o al banco donde hay colas enormes.",not_applicable
1231,"Sería estupendo que podamos pagar la cuota de la tarjeta de credito con tarjeta debito en la misma aplicacion, ademas que se pueda poner en cuotas las compras que se realizan en 1 sola cuota. Tambien podrian agregar la opcion de enceder o apagar la tarjeta sea titular y/o adicional. Ademas poder hacer transferencias interbancarias inmediatas o diferidas. Darnos la opcion de elegir.",not_applicable
1232,"Anteriormente al realizar una transferencia permitía ingresar un mensaje, el cual aparecía en la constancia de la transacción, siendo muy útil ya que servía de referencia posteriormente al revisar la constancia en el correo o la misma constancia. Ahora se ingresa un mensaje pero al hacer la transferencia se pierde el mensaje y NO APARECE ni en la constancia generada por la app ni en la constancia que llega al correo. Por favor considerarlo.",non_repudiation
1233,"Una aplicación que su finalidad es evitar perder tiempo, pero que sucede todo lo contrario. Punto número al momento de registrase el bendito código de verificación que te lo envían al correo no llego sino es después de 10 minutos cosa que llega tarde y tu sesión expira y tienes que volver a realizar todo desde cero(perdida de tiempo). Punto número dos luego de un par semanas aproximadamente de uso te muestra un error cuando intentas ingresar lo que te genera que tengas que desinstalar la app",authenticity
1234,"Si la anterior version era pesima, esta nueva version es un fiasco. De donde han conseguido a sus ingenieros informaticos, deberian demandalos. mucha pantalla para tan poca eficiencia. Se lagea, hay que rebuscar para encontrar lo que quieres, carga por todo y peor se le va la señal constantemente. hace perder tiempo, si cambiaron la version para mejorarla pues lamemtablemente amigos del BCP han sido estafados.",not_applicable
1235,"No tiene la opción de carrito de pago, a veces se queda congelado al realizar varios pagos de servicios continuados y muestra mensaje de error. Cuando transfieres a otros bancos ya sea de manera inmediata o diferido igual cobra la misma comisión. Algunos cajeros automáticos tienen la pantalla tan agotada que no se ven las opciones y peor si les da la luz del sol directo.",not_applicable
1236,"La nueva actualización de la aplicación es pésima!!! Por favor, revísenla. No de entiende nada, se trata a cada rato es incluso para un joven es difícil de entender. La anterior versión era perfecta, está nueva versión es pésima. Muy mala actualización.",not_applicable
1237,"Pésima! Paro reiniciando el celular porque su app siempre me manda un mensaje de ""ocurrió un problema'. No se puede entrar con facilidad, y si tienes varias cuentas es difícil identificarlas. Regresen a su versión básica, no tenía una interfaz moderna pero por lo menos era rápida y fácil de trabajar.",not_applicable
1238,"Ya es la octava vez que descargo , desinstalo y reinicio. No se qué pasa con la aplicación automáticamente se cierra no se porque no es compatible con mi celular realme, fui al banco de BCP y no hay solución a este problema. Solo horas pude abrir mi cuenta y con la clave y ahora automáticamente me vota , esto es estresante . Soluciones o actualizan la aplicación 😔.",not_applicable
1239,"No puedo utilizar el app, lo reporte por banca telefonica el 16/12/22 y solo pidieron disculpas que no pueden hacer nada, que el area esta revisando porq no se usar el app con version de android 7.0, incluso indicaron que son varios clientes con el problema y parece que no les importa. Acabo de revisar la compatibilidad y la aplicacion si debe funcionar.",not_applicable
1240,"Con cada actualización los problemas de conectividad han ido aumentando, cada vez con más fallas de conexión (tal vez x saturación de su servidor) y/o conexiones más lentas obligando a permanecer en línea más tiempo y el riesgo de ser hackeado. Siempre con su app y las de BBVA, Scotia e Interbank venía conectandome a través de un VPN contratado para mayor seguridad, con su última actualización ya no me permite hacerlo. Voy a desinstalar su nueva app xq es menos segura sin VPN",confidentiality
1241,"Imposible realizar transferencias ! , Errores casi todo el tiempo , el teclado tiene lag ( corriendo en un Galaxy Note 10 Plus ) , no se pueden realizar operaciones de noche / madrugada , problemas de conexión con el servidor ( probado en red inalámbrica Wi Fi , alambrica y LTE ) .",not_applicable
