ID,Comentario,Clasificacion_ISO25010
2101,"Actualizaron la aplicación y no sirve para android 8, no avisaron y ahora no puedo hacer transacciones y tampoco me sirve el toquen digital. Acaso el BCP considera que todos los clientes tienen dinero suficiente para actualizar cada año sus celulares. Muy triste esto por parte del BCP",authenticity
2102,"Hace 2 días me salió un aviso para actualizar la aap, lo hice y luego al abrir se bloqueo. Salió un aviso que posiblemente había sido manipulado, lo cual no es porque yo misma lo hice. Ahora resulta que tengo que resetear mi contraseña y sino lo acepta no podré usar el app en este celular. INCREIBLE. 😡",authenticity
2103,No le daría ni media estrella es una reverenda xkeria está nueva actualización y me da mucha rabia q actualicen y ocupe más en espacio en mi celular acaso no se dan cuenta q está app tbn la usan adultos mayores y para ellos debería ser más sencilla una opción deberían ser distinta la apariencia para cliente según su edad y grado d instrucción bueno es una idea no todos somos tecnológicos para saber cómo se maneja está app y cualquier otra y bueno en las agencias debería haber la misma app.,not_applicable
2104,esta nueva actualización no me permite ingresar a mi cuenta a quien se le ocurre realizar una actualización en plena pandemia y cuarentena y poner dificultades para ingresar a nuestras cuentas pidiéndonos una código de confirmación que nunca llega a tu correo o llega cuando tu tiempo a expirado esta aplicación le utilizaba para realizar todos mis pagos ahora no puedo e tenido que transferir mi dinero a otro banco para realizar mis pagos por su aplicación,authenticity
2105,"hace dos días la app presenta problemas, no me permite ingresar, sale el mensaje de que se encuentra en mantenimiento, solucionen eso urgente. se entiende de que la app es para no visitar una agencia ps obliga a hacer las largas colas para hacer una transferencia. pesima atención.",not_applicable
2106,Alguien más presenta el problema de cuando entran a la app no apertura y se cierra cada actualización termina siendo peor que la anterior ya desactive todo y nada de verdad que feo esta la fecha no puedan mejorar la falla qué están teniendo en todos los dispositivos osea ahora no puedo hacer transferencias por que llamo y ni una solución me dan no qué tengo que esperar la nueva actualización osea mientras tanto no trasferencia mi dinero que burla es esta para con los nosotros los clientes,not_applicable
2107,Malísima la aplicación siguen con los mismo errores no entra ala aplicación. se nota que no les importa nada su aplicación y no trabajan en sus errores que decepción la aplicación. Ningun estrella se merece pero solo por publicarle tuve que poner * .,not_applicable
2108,"Llevo 4 días tratando de actualizar la app y no llega a cargar al 100 % , es una pena que se obligue actualizar la app y para colmo en vez de causar mejoras en el sistema solo los vuelve peor , se cae el sistema a cada rato sobre todo por las noches y no que decir sábados y domingos ...",not_applicable
2109,"Mi celular no puede abrir el aplicativo. Ya actualize la aplicación, ya desinstale e instale denuebo y sigo con el problema. Que hago? Bcp me respondió, en cuestión de minutos, después de publicar el comentario, dicen que su hay un bug sistémico específico ñ, y que gradualmente van a liberar una nueva actualización que resolverá el problema.",not_applicable
2110,"Completamente horrible la actualización, la versión anterior estaba mucho mejor. Recién actualicé la app y apesar de que varias personas me dijeron que no lo haga, pensé que no fallaría tanto pero me choco con la realidad. No sirve su actualización.",not_applicable
2111,"Esta aplicación todo el tiempo tiene errores así como sus transacciones, trabajo haciendo cobros con tarjeta y el que falla es el bcp, cobramos 1 vez, hay veces que le sale que le cobraron doble en la aplicación del cliente es un dolor de cabeza y trae demoras.",integrity
2112,"Quise actualizar el app y no se podía, lo desinstalé y traté de instalar de nuevo y nada se queda en 78 %, y si tengo como 10gb de espacio Hace días me pidió actualización, y nada, desinstale el app y ahora no puedo instalar, tengo 8gb de espacio libre he seguido todas las sugerencias y no se puede instalar 31 de julio 2022",not_applicable
2113,"El mismo problema q todos ... mi app dejo de funcionar, al abrir sale el logo del BCP y luego se cierra, ya reinstale 10 veces y no funciona, como tengo token digital tampoco puedo usar la web pq me pide el token ... en resumen un funciona la banca digital, tendré q ir a la agencia para las transacciones, tuve q migrar todos mis pagos al Scotiabank.",authenticity
2114,"Actualice la aplicacion y ahora se cierra sola, elimine y volvi a instalar y sigue sin abrir. Normalmente desactivo las actualizaciones para evitar estos problemas pero ya no me dejaba pasar de la actualizacion y pasa esto.",not_applicable
