numero_comentario,comentario,clasificacion_iso_25010
2402,"Fatal con esta app ,por reiteradas veces me ha salido que no se puede hacer un plin por error del número o algo así y resulta que si me lo debitan ,y eso no es todo,sino que no le llega al destinatario y entonces hay que perder tiempo haciendo reclamos y todas esas cosas innecesarias ,perdiendo tiempo para que te devuelvan tu plata",integrity
2403,en los celulares Xiaomi no sé si sea solo mi caso aveces nunca llega la clave para hacer operaciones y así para siempre espero lo resuelvan gracias,authenticity
2404,"En la sección de finanzas, no aparece mis ingresos tampoco mis gastos se quedaron en 0",integrity
2405,Basura deja colgado en la madrugada uno se confía en usarlo y nunca funciona en la madrugada porqueria todo el día no funciona debería desaparecer,not_applicable
2406,Piden muchas actualizaciones y es muy lenta,not_applicable
2407,"L a última actualización pésima, no me permite registrar mi nurvo número plin.",not_applicable
2408,Puras actualizaciones y sigue igual de lenta,not_applicable
2409,"Desde el día de hoy, entro a la app y me sale automáticamente la opción de cerrar cesión sin parar y no me permite hacer nada, por favor, arreglen este problema, entre por la web y todo está bien pero la app está funcionando mal.",not_applicable
2410,"Otra Vez interbank con problemas en la app , no está disponible la alcancía y allí está mi dinero justo ahora que quiero retirar, es molesto y cansado !! Tendré que cambiarme de cuenta y mientras tanto quien me repone o se hace cargo de estos malos momentos y justo en estas fechas? No puedo hacer nada 😡",not_applicable
2411,"Tiene una falla que arrastra desde varias versiones atrás. Cuando digitas el monto a transferir o plinear, el cursor se recoloca al inicio y no al final, lo que obliga a ir recolocandolo para poder seguir digitando el monto. Realmente fastidioso.",not_applicable
2412,"La versión anterior estava mejor, no se para que van a actualizar algo que al final va a perjudicar a los usuarios, dado que, ni un plin puedo hacer porque se para colgando la app, exigimos se solucione esto, bo me parece que se maltrate de esta manera a los apostamos por ustedes.",not_applicable
2413,"Muy mala ,me robaron 2 veces dinero de la transición,la operación de plin a yape nunca llegó,el primero fue el 30 de Agosto de este año y el segundo fue ayer, pase de mi propia cuenta plin a mi cuenta yape ,de mi plin se descontó el monto y nunca llegó a mi yape ,OJO si coloqué bien el número ,me comuniqué con Avi la operadora virtual y nunca me dieron solución demoran en responder y cuando lo hacen y le das lo que piden te dicen que quizás estás ocupado y que te esperan 3 minutos más ,no ayudan",integrity
2414,"Su aplicativo se demora demasiado en cargar , a cada rato sale ocurrio un error en las operciones que quiero realizar, ahora hoy no me permite ni siquiera ingresar sale error intentalo mas tarde , sus actualizaciones en vez de mejorar empeoran las interfaces y operaciones.",not_applicable
2415,Pide actualizar la app x q según hay nueva versión x el covid y hay q ingresar otra vez datos. X la pandemia no tenía mi tarjeta conmigo y no pude realizar la actualización ni mi pago del mes Mayo 6 y ya me cobraron la multa encima que efectuaron el pago desde mi cuenta. X fin pude Tener otra vez la app y no hay nada nuevo la app es la misma de antes. Estamos en una emergencia hacemos lo posible x estar al día en los pagos y salen con actualizaciones que a mi parecer no vienen al caso.,integrity
2416,La app tiene lo principal pero hay un gran detalle que juega en contra. No aparecen todos los movimientos y compras que realizas así como por ejm en ripley y 2 las compras que pasas a cuotas desaparecen de los movimientos eso es fatal.,accountability
2417,"Muy mal, se supone que es una actualización y tendría que complementar a la APP ya instalada, pero esta te borra todos tus datos ya registrados y tienes que comenzar de cero, lo cual no es ideal, por que podrías suponer que es una APP pirata que está pidiendo tu información como tú clave web.",resistance
2418,"Actualisar a cada rato, ya preocupa ßon uds o los hakearon, ya no se cuando puedo utilizar el app",resistance
2419,"Me gusta lo amigable que es esta app para el usuario, pero últimamente cada vez que lanzan una actualización tengo problemas para realizar operaciones. En este momento estoy tratando de hacer un pago de servicio y la app se cierra de la nada. Ya he intentado varias veces y ocurre lo mismo.",not_applicable
2420,Yo le daría 0 estrellas Pero para comentar hay que marcar una Que lamentable que está aplicación sea tan desastrosa al abrirla es demasiado lenta asta para buscar los contactos Y muy seguido sale algo salió mal e intenté de nuevo al principio era muy rápido y eficiente estaba como para darle 20 estrellas y ahora no sirve ni siquiera para dar una estrella y peor ahora que pide una nueva versión de Android mi teléfono es un Aristo LG Android 7 Ahora dice que no es compatible que porquería,not_applicable
2421,"Desde la ultima versión ya no puedo ingresar mediante huella digital. Me sale error y cuando lo configuro de nuevo, tampoco me reconoce, sale que intente en la siguiente sesion. Me gustaba con huella pues aai ae accede más fácilmente.",authenticity
2422,"Actualización, otra vez me pide desinstalar y volver a instalar la app par a poder usarla... Hasta cuando va a seguir pasando eso. No puedo entrar a la app, me dice que no es posible entrar a Interbank app y que tengo que descargar la aplicación desde Google play cuando ya la tengo descargada e instalada.",not_applicable
2423,La app me disgusta ya que la usamos mi hijo y yo en diferentes dispositivos lo cual era fácil con la clave sms y ahora la app es completamente inútil desde que implementaron la verificación fácial yo salgo de viaje por largo tiempo y esas cosas no convienen antes solo le mandava el codigo que me llegaba y Listo Terrible la app,authenticity
2424,"Voy a opinar pero no de la app si no del wasap de Interbank, es una reverenda porquería, y además no inspira confianza el dejar sus datos a una app que es manejada por terceros, no siquiera la maneja Interbank, osea no se hacen responsables si algo sucede en ese wasap. Llevo varios días escribiendo pidiendo un asesor y me dejan en visto, O atienden y me hacen esperar y nunca me terminan de atender, lo mismo sucede con el número telefónico de Interbank nunca contestan un humano.",resistance
2425,"La aplicación está fallando en demasía y generando un disgusto hacia el uso de la tarjeta durante las compras online, ya que en si no apoya el que uno no pueda entrar a gestionar sus cuentas, ya que solo aparece error tras error al querer ingresar.",not_applicable
2426,"acabo de perder una gran cantidad de dinero por culpa de esta aplicación, me sale con su alerga que no puede proceder a enviar a un numero de yape, intento en varias ocasiones, y resulta que en todas ya se habia yapeado, miro el saldo de mi cuenta y me sale 6 pagos.",integrity
