ID,Comentario,Clasificacion_ISO_25010
501,"No sirve. No abre, cuando abre se demora demasiado. Es una ridiculez",not_applicable
502,funcionaba bien y ahora su aplicación no logra ingresar,not_applicable
503,"Pésima la aplicación, estaba funcionando relativamente bien. pero ahora desde hace dos días me es difícil hacer pagos por Plin, no puedo hacer pagos ni siquiera de la tarjeta porque demora en cargar demasiado. Si no mejora tendré que retirarme de este banco",not_applicable
504,"Pésima App, nunca llega la clave dinámica. hola de nuevo YAPE !!",authenticity
505,el pin no funciona y causa molestia e incomodidad,authenticity
506,A cada rato se debe estar desinstalando y volviendo a instalar,not_applicable
507,Que pasa con la app dos días que no funciona no se puede ni ingresar,not_applicable
508,"los deberían multar por el mal funcionamiento del aplicativo, siempre de manera repentina deja de funcionar, ahora casi todos los días a partir de la medianoche no funciona.",not_applicable
509,actualicen la aplicación que se congela y no deja entrar.,not_applicable
510,porqeria no sirve .no se puede enjiar dinero al yape solo plin cochina ase perder tienpo,not_applicable
511,no abre,not_applicable
512,"estaba funcionando bien hace una semana pésimo, se cuelga, no se puede transferir tampoco plinear, nunca te llega lá clave dinâmica, llevo 2 dias sin hacer movimentos, dejare de ser cliente",authenticity
513,continuamente no puedo entrar al app,not_applicable
514,no sirve el plin.,not_applicable
515,"es una mrd, todos los días antes de trabajar y pagar el desayuno existen problemas, que de plin a BCP no se puede, que plin está en mantenimiento, que no llega la clave dinámica , nunca puede estar bien está app y sus problemas",authenticity
516,"aplicacion fea, no llega la clave dinámica, no hay forma de hacer transacciones o plinear, lo único que me queda es retirar todo mi dinero y no volver a usar la aplicación nunca más",authenticity
517,Estoy teniendo poblemas con Interbank Plin demora muchísimo al cargar. cuando deseo plinear me indica q se acabo el tiempo y no puedo plinear,authenticity
518,no se puede cambiar sonido,not_applicable
519,Me sale que tengo una pago atrazado cuando no tengo ninguna deuda hace años no se actualiza los pagos desde hace 3 meses en el app y siento que me esta perjudicando porque tengo una tarjeta con garantia y cuando fui a solicitar una tarjeta de credito me dijeron que tengo una deuda de hace dos años en otro banco y que todavia no se actualiza que pesima atencion recibo del banco tanto en ventanilla como por wasap por eso pronto optare por otro banco,integrity
520,"muy malo, ineficiente nada intuitivo,",not_applicable
521,"¿Cuando van a arreglar la clave dinámica? cuando por fin llega después que se demora la vida, sale un mensaje que la clave dinámica es incorrecta o expiró, sigue pasando el tiempo y no hay cuando lo solucionen.",authenticity
522,"horrible el app, quiero hacer mis transferencias y me pide clave, clave que me llega depues de 10 minutos. horrible no se lo recomiendo",authenticity
523,"una porquería de aplicación y también de banco, recomiendo salirse",not_applicable
524,"malísima la aplicación, la clave dinámica no permite hacer pagos y demora mucho",authenticity
525,es un desastre de aplicativo tengo una semana y no habre .pesimo sistema. por eso mejor trabajo con yape,not_applicable
526,Constantemente pide actualización,not_applicable
527,Nuevamente con fecha de 22/06/2025 La aplicación sigue fallando.,not_applicable
528,Asco de aplicacion,not_applicable
529,"terrible aplicativo de interbank no deja hacer transacciones, ni plinear, ni recargas nada de nada solo por que la clave dinamica llega siempre tarde minutos o incluso horas despues, hasta antes de la actualizacion estaba todo bien despues de actualizar empezo a tener estas fallas y ahora hace 2 dias no deja hacer nada por culpa de la clave dinamica arreglen este fallo por dios o vere la necesidad de usar yape",authenticity
530,"todo el tiempo en mantenimiento, pasada las once ,ya no sirve el plin ,que tontería de desarrolladores contrata interbank ,pésimo",not_applicable
531,Malisimo siempre anda en mantenimiento las transferencias igual no se puede hacer nada realmente.,not_applicable
532,es una pésima aplicación he trabajado con BCP y BBVA son muy buenas pero cada día me sale que tienen problemas y según ellos lo solucionan,not_applicable
533,"La peor app de banca del país, usen BCP mejor.",not_applicable
534,muchos errores desde las nuevas actualizaciones,not_applicable
535,Plin es una porquería,not_applicable
536,Demasiado lenta y nunca llega el código de verificación,authenticity
537,la app está teniendo muchas fallas desde hace dias ...demora mucho para ingresar y para hacer alguna transacción,not_applicable
538,sinceramente decepcionada de esta app quiero hacer un pago y siempre tengo problemas con la clave dinámica y eso me atrasa en muchascosas,authenticity
539,nunca llega la clave digital que asco de banco,authenticity
540,"ya desinstale la aplicación dos veces y me asegure que fuera la última versión, pero no puedo mover nada de dinero, está estancado cada que quiero mandar o pagar con Plin me dice que no hemos podido realizar tu operación. Estamos trabajando para solucionar el inconveniente. todo el tiempo lanza eso y no puedo mover mi dinero no se qué hacer",integrity
541,últimamente el código nunca llega para realizar las operaciones.,authenticity
542,"App deficiente, no me deja pagar mi tarjeta de crédito. Los asesores del banco poco útiles, me dijeron que tenía que tener una tarjeta de débito para que funcione. La saqué y la App sigue sin dejarme pagar. 0 recomendada. Aparte es bastante insegura, porque el CVV no es dinámico; es decir, no cambia periódicamente. Hace 1 mes me realizaron un cobro fraude en dólares. Mejor usar BBVA.",confidentiality
543,no carga el aplicativo,not_applicable
544,Lo peor,not_applicable
545,"Actualizaron la aplicación y se puso demasiado lenta casi inservible, no puedo realizar transferencias, ni depósitos, tampoco usar yape, ni plin. Porfavor cada vez que actualizan hacen más pesada la App. Creo que me voy a cambiar de Banco, si continúa con error, porque no me sirve. Llevo dos días desde el 19 de Junio 2025 hasta hoy 21 de Junio 2025 intentando transferir y la app Interbank no lo permite.",not_applicable
546,"Funciona bien recién instalada, pero si deseo hacer uso nuevamente ya no se puede, tengo que desistalar la aplicación y volver a instalarla para poder usarla, la verdad que me resulta tedioso y molesto hacer esto una y otra vez, por favor mejorarla en ese aspecto.",not_applicable
547,la actualización es una tontería nunca sale la clave dinámica esta bien ina semana y luego otra vez lo mismo con la clave dinámica cada vez es peor,authenticity
548,"Horribleeee, cada vez que deseo pagar no me abre el aplicativo, casi siempre me sale que están arreglando y nose qué tontería más!!!",not_applicable
549,"Me decepcionó cuando tuve que hacer el pago de mi tarjeta de crédito de interbank en la app usando mi tarjeta de otro banco, solo carga para al final cerrar la app o mostrar una notificación de ""inténtelo más tarde"" (lleva así más de 3 meses)",not_applicable
550,"Desde hace una semana está que falla, la clave dinámica se demora una eternidad en llegar. Me acerque a una Tienda y tampoco dieron solución. Lo iban a reportar al área encargada, pero hasta ahora nada. Tengo otras aplicaciones de otros Bancos y trabajan sin ningún inconveniente. Está de mal en peor.",authenticity
551,"pésima, demora en cargar los datos y quita demasiado tiempo.",not_applicable
552,Tengo que pagar la tarjeta de credito y no puedo ni entrar si es de esta manera como generan mas intereses y me cobran morosidad tendre que cancelar esa tarjeta de credito y buscar credito en otro banco y si esto continua asi pedire tambien que paguen mi sueldo en otro banco,integrity
553,Es muy mala quiero entrar y no puedo ayer entre normal y hoy no puedo,not_applicable
554,Demora demasiado en ingresar no se que hicieron en la última actualización qué tengo que esperar como tres minutos para que inicie la app y encima no por completo aun siguen cargando las opciones. Encima meten publicidad dentro e la aplicación qué la vuelve más lenta aún. Todo de mal en peor.,resistance
555,"No tenía problemas con el app, pero desde que se actualizó a la versión v20.0.4 está demasiado lento. Navegar entre las distintas opciones se ha vuelto una eternidad. Me parece que este problema lo están teniendo equipos Redmi 9C, ya que he leído comentarios anteriores indicando el mismo problema. Por favor, arréglenlo pronto 🙏",not_applicable
556,"Arreglen la validación biometrica, ya desinstale, volvi a instalar y nada. No es la primera vez que debo ir al banco para esto.",authenticity
557,"hola Interbank, podrían mejorar una vez cuando quiera realizar un envío sea de una vez y no un error....",not_applicable
558,"Por favor solucionen la clave dinámica que fastidiooooooo tener que esperar demasiado tiempo para obtenerla y después salga un aviso que caducó el tiempo de espera y se cierra el aplicativo, ya lleva días así, tendré pasar mi dinero a otro banco. Pésimo.",authenticity
559,nunca llega el código de confirmación para transferir o plinear,authenticity
560,Últimamente una de las peores app,not_applicable
561,la verificación facial no es muy buena,authenticity
562,excelente,not_applicable
563,"Más de 30 minutos tratando de realizar alguna transferencia y no se puede porque no llegan las claves dinámicas, hasta para tratar de quitarle la opción igual hay que esperar y tampoco llegan. Me cansé de esperar.",authenticity
564,"cada vez que quiero abrí el app, no se puede",not_applicable
565,"Antes era mi favorita de todas las apps de banco, pero ahora es un completo desastre no carga, no se puede plinear demora demasiado y encima salen errores de q no se pudo realizar la operación, estamos trabajando para solucionar por favoooooor llevo una semana tratando de transferir un dinero a otro banco y no se puede, lo q quieren es que se siga quedando ahí supongo por eso no permiten que salga para ningún lado, me siento estafada!",integrity
566,"jamás funciona la app, no puedes disponer de tu propio dinero, voy a cerrar mi cuenta",integrity
567,ok,not_applicable
568,Ok,not_applicable
569,no carga ni entra pésimo deberían arreglarlo,not_applicable
570,no puedo entrar a mi tarjeta de crédito cada que lo intento no acceder se sale el aplicativo,not_applicable
571,"no hay palabras para describir esta nefasta aplicación, no la usen, nada funciona, es horrible",not_applicable
572,No entra.aveces demora mucho,not_applicable
573,"tengo problemas con plin , no me deja transferir dinero a yape, por favor espero puedan darme una solución pronto",not_applicable
574,"Horrible, no sirve.",not_applicable
575,"arreglén su app , no se puede hacer plin, viene fallando desde hace varios días.e voy a cambiar de banco",not_applicable
576,una basura nunca te mandan la clave dinámica :/ y te hace pasar malos ratos cuando necesitas pagar,authenticity
577,"Hace buen tiempo que las actualizaciones no ayudan sino que empeoran. Cada vez que abro la app va lenta, no me deja ver las cuentas porque se abre Notificaciones y da vuelta y vuelta y se queda así. Tengo que retroceder para ver las cuentas. Anda de mal en peor.",not_applicable
578,malo,not_applicable
579,No mandan o se demoran los codigos para transacciones de pago y a veces hasta ni se puede ingresar al app,authenticity
580,plin no funciona y no puedo mover el dinero de mi cuenta,integrity
581,muchas complicaciones,not_applicable
582,Horrible,not_applicable
583,"fatal está app no me deja hacer transferencias, espero que los desarrolladores arreglen las fallas",not_applicable
584,Algunas fallas,not_applicable
585,esta pésima esta ap,not_applicable
586,"El sistema más inestable de todos los bancos, [ DICE ESTAMOS TRABAJANDO PARA SOLUCIONAR EL INCONVENIENTE ] cuando quiere funciona.",not_applicable
587,es una molestia porque cuando a vecd quieres plinear sale el mensaje estamos trabajando... y una por mas que intente no se puede plinear 🤨,not_applicable
588,muy mala,not_applicable
589,"Que hicieron en las últimas actualizaciones, es terriblemente lenta, el código no llega nunca!!!",authenticity
590,VOY A TENER QUE CERRAR MI CUENTA SI ES QUE CONTINUA CON ESTE PROBLEMA NO LLEGA LA CLAVE DINAMICA PARA REALIZAR EL PLIN PESIMO ... 😏🫤,authenticity
591,muy bien 👍,not_applicable
592,no abre enmi celular,not_applicable
593,estoy usando la versión 20.01 una reverenda kkota nunca llega la clave encontré un truco tan pronto se actualiza tienes q reiniciar el celular para q pueda llegar la clave,authenticity
594,"Si podía le daba 0 estrellas a esta basura de app, siempre se cae, su red es pésima y es muy frecuente que no se pueda incluso usar el plin, pésima.",not_applicable
595,cada cierto tiempo se requiere actualizar generado problemas ala transferencia y por momento estoy teniendo inconveniente para ingresar ala app .que decepción,not_applicable
596,una porquería de aplicación hasta se realizó un doble cobro de mk tarjeta,integrity
597,malisima no funciona no puedo plinear rápido,not_applicable
598,"una mrd esta aplicacion , siempre hay fallo y ya nose puede ni echar recarga , xq se domar cantidad para que den el codigo para ser el tramite",authenticity
599,esta muy lenta la app,not_applicable
600,se malogra a casa rato,not_applicable
