comentario_id,contenido,clasificacion_seguridad,justificacion
2401,"la version anterior era funcional...esta actual no permite el ingreso...desconoce la contraseña y a pesar de los reclamos por telefono no le dan solucion...mal...muy mal...contraten a personas calificadas y con experiencia que den soluciones y no excusas... Al 03 Mar 21, la app no funciona en mi celular, ya la he reistalado unas 10 veces, y nada...",authenticity,"Sistema no reconoce contraseña válida después de actualización comprometiendo autenticación"
2402,"Señores, que ha pasado con las últimas actualizaciones... era una de las mejores apps de bancos... el equipo encargado y los desarrolladores actuales de esta app están arruinando la reputación del app y del banco... arreglen los errores rápido, no afecten la experiencia de sus clientes...",not_applicable,"Crítica general de degradación post-actualizaciones sin aspectos específicos de seguridad"
2403,"Pésima aplicación, funciona cuando le da la gana, usualmente sale error al tratar de ingresar y hay que estar instalando y desinstalando, no permite el uso de huela digital. Lo peor!!!",authenticity,"Fallo en autenticación biométrica (huella digital) comprometiendo acceso seguro"
2404,"La aplicación es buena , pero ahora no se puede ni ingresar a la cuenta , sale error , parecen el banco de la nación , o peor ... Esto nos perjudica , sobre todo en esta coyuntura de la cuarentena ... Ojalá lo solucionen rápido por favor",not_applicable,"Error técnico general de acceso sin aspectos específicos de seguridad"
2405,"Si pudiera calificar con 0 estrellas lo haría, además de cobrar por el mantenimiento, nunca funciona la app, me demoro mucho para ingresar, reinicio y reinicio ya envía hasta hace un rato 13 código a mi correo, porque, ni siquiera llega a mi SMS, y para colmo se demora mucho en llegar los códigos al correo, Scotiabank es una basura 🗑️",authenticity,"Envío masivo de códigos (13) con fallo en SMS y demoras extremas comprometen autenticación"
2406,"Todo iba bien hasta que la actualizaron. Los pagos frecuentes ya no aparecen en la pantalla. En vez de mejorar la app la dañaron. Si pudieran arreglar ese error. Seria mejor",not_applicable,"Pérdida de funcionalidad de pagos frecuentes post-actualización sin aspectos de seguridad"
2407,"Hola tengo un problema hace más de10 días no puedo entrar ala aplicación me sale error en la aplicación vuelva ah inventarlo más tarde . Y no puedo ver ninguna de mis cuentas ni ver cuando me depositan ni hacer mis pagos de servicios",not_applicable,"Error técnico prolongado sin aspectos específicos de seguridad"
2408,"Cada vez peor, se demora en abrir la app, dice error, y el plin ni hablar, es otro problema, se demora en abrir en mas de 10 intentos, en el peor de.los casos nunca abre, no puedo usarlo.",not_applicable,"Problema de rendimiento sin aspectos específicos de seguridad"
2409,"De verdad que porquería de aplicación, todo el tiempo anda con error, no se puede entrar a la cuenta o si ingresa , no se puede hacer transacciones, que aplicación tan pésima y desesperante, si no le doy cero estrellas porque no se puede",not_applicable,"Error técnico general sin aspectos específicos de seguridad"
2410,"Llevo meses sin poder entrar a la página de mrd que tienen tanto como la app y su página me sale ""hemos tenido un error inténtelo más tarde"" y no soy el único, no puedo ver mi saldo ni transferencias pq no puedo lograr arreglen su mediocre página.",not_applicable,"Error técnico prolongado en múltiples plataformas sin aspectos de seguridad"
2411,"Pésima actualización... En la anterior entraba rápidamente y realizaba mis operaciones sin ningún problema... Con esta tarda demasiado en acceder... Prefiero dejarla de lado y entrar por la PC... Qué mal en verdad...",not_applicable,"Degradación de rendimiento post-actualización sin aspectos de seguridad"
2412,"REPARAR LA APLICACION al abrir la aplicación aparece la pantalla de acceso pero al ingresar la clavr y datos correctos indica que son incorrectos, luego me percate que al retroceder aparece otra pantalla de inicio, al parecer hay una pantalla de inicio doble.",authenticity,"Interfaz duplicada causa rechazo de datos correctos comprometiendo autenticación"
2413,"No es posible iniciar la aplicacion con tarjeta de crédito aun cuando te dan la opcion de ingreso. Aparece mensaje de inicar la aplicación con tarjeta de debito entrando en contradicción.",authenticity,"Sistema no reconoce tipo de producto válido para autenticación"
2414,"He descargado la app y en el último paso donde coloco una contraseña acepto los términos y condiciones, pero luego me aparece que la aplicación tiene un error, he intentado 4 veces y me dice lo mismo ya son 2 días.",not_applicable,"Error en proceso de configuración inicial sin aspectos específicos de seguridad"
2415,"Estoy desde hace una semana intentando ingresar a la app pero cuando completo el dato solicitado (DNI) Me sale un mensaje de ""error en la aplicación inténtelo más tarde"". No es posible que por MÁS DE UNA SEMANA NO PUEDAN SOLUCIONAR LOS PROBLEMAS DE LA APP, QUE PÉSIMO SERVICIO😠",not_applicable,"Error técnico persistente sin aspectos específicos de seguridad"
2416,"No puedo actualizar la última versión... En estos momentos stoy teniendo problemas con la aplicación anterior que no abre... Y tampoco puedo actualizar.. Por favor corregir el error del sistema de actualización por favor",not_applicable,"Problema de actualización sin aspectos específicos de seguridad"
2417,"No entiendo como pueden tener una app tan inestable. Se borran los contactos de PLIN y la lista rápida de pagos a cada rato. Hoy no puedo hacer ninguna transferencia porque se cuelga... es el colmo! Y no es la primera vez que pasa",not_applicable,"Pérdida recurrente de datos sin aspectos específicos de seguridad"
2418,"Desde que actualizo pésimo el servicio y para colmo eliminaron la opción, de MIS PAGOS en la cual tenía toda mi lista de pagos mensuales de servicios y ahora no puedo, en vez de mejorar. Va empeorando.",not_applicable,"Eliminación de funcionalidad de pagos post-actualización sin aspectos de seguridad"
2419,"Malísima. No he podido entrar ni una sola vez, me decía que ""la aplicación se había detenido"" (?). He notificado varias veces, he desinstalado y vuelto a instalar, y nada.",not_applicable,"Error técnico persistente sin aspectos específicos de seguridad"
