ID,Comentario,Clasificacion_ISO_25010_2023,Justificacion
2601,"Esta fallando la aplicación desde la mañana sale hubo un error al entrar a la aplicación , no es la primera vez que sucede lo mismo ya es repetitivo.Espero que logren solucionar las fallas , Gracias.",not_applicable,"Error repetitivo de aplicación, no específicamente de seguridad"
2602,"La App en sí, no es buena, no te dan detalles de las operaciones, ni fechas ni horas. No te permite pagar con tarjetas que no sean del mismo banco, la verdad es una app mala. Tiempos de carga lentos, y cero user friendly.",accountability,"Falta de detalles de operaciones - no proporciona fechas ni horas"
2603,"Últimamente está fallando mucho, no carga la app, sale que intente más tarde y para plinear peor aún, me sale que hubo un error en la aplicación y esto sucede muy seguido",not_applicable,"Fallas frecuentes de carga y funcionamiento"
2604,"La última actualización dejó mal parada: no ver mi lista de servicios de pagos, por ejemplo cuando busco mi servicio Entel me dice q sta en lista pero no puedo verlo solo dice que aún no tengo transferencias guardadas 😡, arreglenlo",accountability,"Pérdida de lista de servicios guardados - inconsistencia en datos"
2605,"Hasta ahora no logro ingresar, pongo mi DNI y me sale error de aplicación, llamé a Scotiabank y me dijeron que vuelvan a instalarlo y ya lo hice más de 4 veces, y me sale lo mismo. Arreglen ese problema, por favor!",not_applicable,"Error persistente tras múltiples reinstalaciones"
2606,"Hola necesito activar que mi tarjeta se usara en el extranjero y en el banco me dijeron que eso lo debo hacer por la aplicación .. es de verdad una molestia cuando te dicen que estan enviando la clave digital como mensaje y demora un montón en llegar y cuando llega y lo ingresas ya termino el tiempo de espera y asi es siempre .. por favor cambien la aplicación tengo cuenta en BCP y con ellos e ingresar una clave que elegi y ellos me brindan su teclado seguro COPIENSE! Porfavor ..! Funciona genia",authenticity,"Códigos de verificación que expiran antes de llegar - falla temporal en autenticación"
2607,"La APP no sirve no permite ingresar ni con clave ni con la huella dactilar, desde hace más de dos semanas. Ni desinstalando ni actualizando, qué vamos a hacer????!!!!",authenticity,"Falla completa de autenticación por clave y biometría por 2+ semanas"
2608,"Una porquería la última actualización. No puedo ingresar Me pide actualizar datos y que me acerque a una agencia Justamente la app es para evitar éstas cosas Cada vez que la actualizan es peor La hubieran dejado como estaba antes Pésima app",not_applicable,"Solicitud de actualización presencial post-actualización"
2609,"Muy mal el aplicativo anda fallando no me llegan los depósitos de plin. Despues de un mantenimiento en la aplicación fui contactado por JUNIOR JAIR CALDERON CACHAY ES UN ESTAFADOR yo ya lo denuncie y no recibo mucha ayuda por parte de scotiabank no contestan en atencion al cliente y si, una queja.",integrity,"Falla en depósitos Plin y posterior contacto de estafador - compromiso de integridad financiera"
2610,"en cada actualizacion da problemas, ahora actualizé y sale que la sesion ha finalizado y no permite ingresar. se nota la falta de pruebas de calidad y su poca preocupacion por los usuarios.",authenticity,"Sesiones finalizadas automáticamente post-actualización"
