numero_comentario,comentario,clasificacion_iso_25010
901,Mucho falla,not_applicable
902,"No funciona bien, hay veces que no se puede plinear y esta última actualización está fallando en android",not_applicable
903,No abre la app sale sale Nueva versión disponible No hay detalles para AND versión 8.8.3,not_applicable
904,La nueva actualización de la app no está disponible al parecer,not_applicable
905,No se puede ingresar,not_applicable
906,"Pésima aplicación, tiene demasiados fallos, mil veces más eficiente es BBVA o interbank.",not_applicable
907,"La app no funciona, sale nueva actulización y no abre. Me sale que no hay detalles AND version 8.8.3 y aparte cogieron 100 soles de mi cuenta sin permiso.",integrity
908,"No puedo usar la app , arroja un mensaje NO HAY DETALLES PARA AND VERSION 8.8.3",not_applicable
909,muy mal no funciona no puedo abrir la app,not_applicable
910,"No abre la app, pésimo servicio",not_applicable
911,No puedo descargar la app,not_applicable
912,Pésima app . Nunca funciona correctamente,not_applicable
913,No se puede ingresar,not_applicable
914,Muy malo,not_applicable
915,"Es una lágrima la aplicación, no puedo ingresar, me dice que hay una actualización la actualizo y me sale el mismo problema",not_applicable
916,No hay detalles para AND no me deja usar el Scotiabank desde su última actualización.,not_applicable
917,No que está pasando me sale no cueto con AND 8.8.3 que significa esto alguien tiene una idea arreglen señores de Scotiabank no puedo ingresar a mi app.,not_applicable
918,No sirve la actualización,not_applicable
919,"Ya varias veces el plin no se me cobra y despues tngo que intentra de nuevo y resulta que plinee 2 o 3 veces y se me cobra, tambien no me funciona el numero de cvv digital que sale aca, y pa colmo se bugea",integrity
920,Es el colmo no puedo abrir el app cuando mas necesitooooo,not_applicable
921,"Desde anoche hay problemas para ingresar al aplicativo, al eliminar, instalar de nuevo e ingresar de nuevo sale un pop up que dice NUEVA VERSIÓN DISPONIBLE: NO HAY DETALLES PARA AND VERSIÓN 8.8.3.",not_applicable
922,Bien,not_applicable
923,No abre,not_applicable
924,"App inutil cada q actualizan, nl ponen la actualizacion en play store pero si en sus servidores deja totalmente inutil hacer cualquier movimiento",not_applicable
925,Por que no se puede actualizar la app,not_applicable
926,Pésima,not_applicable
927,No permite abrir la app,not_applicable
928,No abre la app,not_applicable
