ID,Comentario,Clasificacion_ISO25010
1901,Pésimo el servicio. Siempre indican en estos momentos no podemos atenderte y nos obligan a salir a la calle para gestionar retiros y pagos de tarjetas y servicios.,not_applicable
1902,"Muy mala hace tres días que no accedo al app, esto es una aplicación para evitar salir de casa y poder hacer transferencia o hacer pagos por este medio y no se puede visualizar nada.",not_applicable
1903,Arreglen esta cosa siempre se traba y no deja ingresar. Cólera da ya.. es buena APK pero no sé el sistema o que rayos que se traba y ya no te deja entrar y déjenlo los intentos a libre acceso no solo a 3 intentos,authenticity
1904,"Pésimo app! Realmente irritante , siempre tengo problemas para ingresar, a la primera ya me dice que hice 3 intentos fallidos!",authenticity
1905,"La aplicación es pésima, tengo suerte si alguna vez logro ingresar y ver mi saldo. Siempre tiene error de sistema y no se puede usar. 😡",not_applicable
1906,"Es una basura el App de banco de la nación, más de medio día intentando ver mi estado de cuenta y nunca carga lo único que sale es ""EN ESTOS MOMENTOS NO PODEMOS ATENDER TU SOLICITUD"", App basura.",not_applicable
1907,La app te pide que lo vayas actualizando cada 3 Veses por semana. Cada vez que deseas ingresar te dice que tu clave es incorrecta. O ya as intentado varias veces. Si recién quieres ingresar.,authenticity
1908,"Es un asco. Ha dejado de funcionar hace algunos meses. Imposible realizar transferencias, giros y otros. Deben arreglarla ya!",not_applicable
1909,Estimados señores del banco de la nación. podrían solucionar la pantalla congelada del aplicativo.... Lleva varios meses sin funcionar en mi móvil.. pésimo servicio.,not_applicable
1910,"Antes estaba bien hace semanas empezó a fallar, se quedaba en la pantalla rojas y no se puede abrir, ni con la actualización.",not_applicable
1911,"Horrible, nunca responden al servicio al cliente, no puedo comprar en línea, entre otras cosas más. Mi recomendación es que mejor se busquen otro banco dónde sí puedan atender sus necesidades",not_applicable
1912,Muy mala experiencia con el aplicativo. Se cuelga muy frecuentemente y no permite transferencias inmediatas.,not_applicable
1913,"La peor aplicación del sistema bancario en el Perú. Demasiados errores. En tiempos de pandemia se debe priorizar la asistencia remota de los bancos; sin embargo, esta defectuosa aplicación no ayuda. Urge un cambio ya.",not_applicable
1914,"Pésima la aplicación, bien te sale exedite de 3 intentos cuando recién estoy abriendo,o sale que lo intente mas, pésima. Encina te estafan con el yape desde el mes de abril que me depositaron 200 soles, hasta no me solucionan. Les interesa el usuario.",integrity
1915,"Una porquería de aplicación, no sirve para nada, sin que haya ingresado me dice que ya hize 3 íntentos o simplemente la app no responde, suguiero que soluciónes esos problemas, de lo contrario mejor eliminen las app de la play store",authenticity
1916,"Pésimo servicio, de que sirve tener una app del banco si para hacer transacciones se me solicita un toquen para sacar en ventanilla........ además la app es lenta y en ocasiones no ingresa a la plataforma.",not_applicable
1917,"Estoy teniendo problemas con mi yape, haces unos meses atrás se desaparecieron 42 de soles de mi cuenta que me habían yapeado, hasta el 5 de mayo, tenía 56 y ahora 06 de mayo, ya no los tengo, desaparecieron. Y para comprobar me yapearon s/14 gasté s/11, y esos 3, ya tampoco están, en cuestión de minutos. ¿Qué está pasando? ¿El BN cobra comisión por usar el yape?",integrity
1918,"Una porquería las actualizaciones porque no permiten entrar ,hace tres días que estoy así sin poder ingresar ,antes por lo menos entraba pero desde que pidió actualizar no pasa nada .",not_applicable
1919,"Cuando laboraba en REQUENA, podía hacer transferencias rápidas. Desde que estoy en Iquitos, solo sale error o código incorrecto. Actualmente es imposible consultar movimientos. Favor arreglar para seguir usando.",authenticity
1920,"Es un asco , cómo debía de ser , NACIÓN, no permite realizar transferencia porque supuestamente su configuración de datos , todavía no pueden ser atendidas , es que se actualizo.",not_applicable
1921,"Muy mala la aplicación . A alguien más cuando entra a la aplicación le sale que "" en estos momento no podemos acceder a tu solicitud"" ???? O solo amo me pasa ese problema ? Por favor arreglen ese problema",not_applicable
1922,"Es una verdadera perdida de tiempo, pésimo sistema, más de 2 semanas sin poder acceder a la app porque sale error, pésimo.",not_applicable
1923,"La app no sirve, la pantalla se congela y al ingresar la clave correcta aparece como error 3 veces. Pésimo con el app del Banco de la Nación",authenticity
1924,Es la peor aplicación de todos los bancos que se puede esperar si es del estado. Quiero ingresar y no se puede luego cuando quiero transferir indica que se hara efectiva el día siguiente. Este banco es basura.,not_applicable
1925,"Que pésima esta la App se cuelga continuamente, no permite ingresar, a cada momento sale un mensaje diciendo en este momento no podemos atenderlo. Deberían mejorar esta App.",not_applicable
1926,muy buena app pero le falta más opciones en el menú como transferencia de dinero no se puede hacer la operación solo se puede hacer de 2 a 3 de la mañana y eso es algo imposible Arreglen eso y les doy 5 estrellas,not_applicable
1927,La app es deficiente. No permite hacer más que ver los saldos disponibles o últimos movimientos. Se debería permitir hacer otro tipo de gestiones,not_applicable
1928,"No me permite abrir mi cuenta del banco, lo desinstale y lo volví a instalar y se apertura una ventana que dice por el momento no me pueden atender, que regrese más tarde, tengo este problema ya varios días.",not_applicable
1929,Casi siempre aparece un cuadro q dice: en estos momentos no hemos podido procesar la operacion. Porfavor intente mas tarde. No sirve esta aplicacion,not_applicable
1930,Es una basura está aplicación quiero realizar retiro sin tarjeta. Ni siquiera me llega el mensaje en el segundo intento ya dice tu clave sms bloqueado temporalmente. Hagan una buena aplicación no hagan perder el tiempo,not_applicable
1931,"No hay peor aplicación que he usado en mi vida, que esta. Se cuelga, siempre hay fallas o esta ""en mantenimiento"". El banco debería preocuparse de atender estas fallas porque para hacer una aplicación que no sirve, no la hubiesen echo.",not_applicable
1932,Intento entrar pero la aplicación falla y no ingresa y me sale intenté más Tarde es una total falla deberían ver qué está pasando con la aplicación que nose puede ver estado de movimiento y plata,not_applicable
1933,"Instale la actualización y todo comenzó a fallar, he desinstalado e instalado varias veces y sigue cerrandose sola la aplicación, no funciona",not_applicable
1934,"No funciona nada, solo sirve para ver saldos, para transferencias siempre dice que en este momento no podemos atenderlo, muy mala la app",not_applicable
1935,No es segura. No te permite ver a mas detalle tu estado de cuenta y constantemente me sale que ya he realizado varios intentos para acceder a mi cuenta cuando recien la estoy abriendo en el día.,authenticity
1936,Falta mejorar la aplicacion porque ni reconoce el token sales token no sincronizado y no se puede hacer nada con aplicacion a cada rato piden actualizar cuando no mejoran nada del token,authenticity
1937,"La aplicación es pésima, me sale que llevo errado 03 veces la clave, cuando es mi clave correcta. Tanto presupuesto tienen y no pueden desarrollar una app acorde a la actualidad. De razón estamos asi",authenticity
1938,"Cada rato se actualiza, y te pide un gran de espacio de memoria, y en otra actualización igual se repite, obligandote a seguir deshaciéndose de más aplicaciones.",not_applicable
1939,Veamos... por el momento me gusta y me es fácil ver mis reportes.. etc.. Le bajó los puntos xque tiene problemas para abrir y no es la primera vez... arreglen eso xfavor....,not_applicable
1940,"El aplicativo debe tener mas funcionamientos más amigable lo veo muy complicado, además de no ser nada original todo el formato lo copiaron del Banco interbank. Hay que ser mas originales",not_applicable
1941,"Pésima aplicacion, se cuelga demasiado para entrar, si de milagro entra no permite hacer transferencias xq siempre esta en ""matenimiento"" o sale un mensaje ""lo sentimos en este momento no podemos atender su solicitud"" super lenta, en resumen MALISIMA",not_applicable
1942,Cada cierto tiempo piden actualizar y ahora que quiero hacerlo no me lo permite!!! ¿ Xq no me dejan actualizar y peor esa aplicación a cada rato se tiene que actualizar?!! Solo hacen perder el tiempo,not_applicable
1943,"Nunca funciona la aplicación, siempre me sale error al intentar abrir, o sino que ya he hecho 3 intentos inválidos. No sirve para nada.",authenticity
1944,"A cada rato me dice que esta en ""mantenimiento"". Te cobrar por cada transacción y se demora mucho en responder. Saltan error a cada rato.",not_applicable
1945,"Creo que no se merece ninguna estrella, no ayuda en nada, siempre está indispuesta la aplicación, no me muestra mi saldo, no se hacen mis trasferencias(tengo clave token), etc, etc..",not_applicable
1946,"Malísima, pésima deberían cambiar la app ,cuando necesita no permite ingresar y cuando uno quiere abrir la app se cierra constantemente .",not_applicable
1947,Estoy usando la aplicación pero no puedo ingresar Pongo la clave para ingresar a la aplicación y aparece que tengo 3 errores al ingresar la clave Y no puedo acceder a ver mi estado de cuenta Podrían arreglar ese tema por favor,authenticity
1948,La aplicación está peor que el banco ya solo falta que te cobre o haga retiros por si sola como el banco... por cierto no se activa el tomen digital así que es una aplicación in útil,not_applicable
1949,"No entiendo para que crean esta app, que no sirve para nada, no se puede retirar el dinero sin la tarjeta, no se puede realizar la transferencia al mismo banco, menos a otros bancos, es una decepción señores del banco de la nación",not_applicable
1950,"Es pésima, no se instala la actualización. No se puede usar en el momento que una desea, se congela la app.",not_applicable
