ID,Comentario,Clasificacion_ISO_25010
2301,"Terrible!, Con esta última actualización no deja poner los datos y te bota, además tienes que reiniciar el teléfono.",not_applicable
2302,Apesta como siempre este banco Es que nunca va cambiar lento totalmente lento asta en su app y en sus bancos los que atienden una spersonas con el humor uff para que ya poco más y te pegan Pero que podemos hacer es la única m... R... D.... Que existe p,not_applicable
2303,"Una decepción la app, se detiene constantemente, falla en las transferencias, debo desinstalar e instalar frecuentemente la aplicación",not_applicable
2304,"Por qué la App del Banco de la Nación, al momento de instalar pide tener acceso a todas tus llamadas telefónicas de lo contrario no puedes bajar el aplicativo,? Pido una explicación.",confidentiality
2305,"Si esta fallando mucho, quiero entrar y dice que 3 intentos fallidos cuando solo he entrado una sola vez, se esta bloqueando mucho por favor mejorar",authenticity
2306,"Siempre tienen problemas, nunca dejan entrar a la aplicación!! Ahora me sale que hice 3 intentos incorrectos!!",authenticity
2307,"Porque tantas actualizaciones necesarias para utilizar la app? Tampoco no me gusta que se bloquea la app cuando ingresas 3 intentos fallidos , y lo peor de todo es que es acumulativo!!",authenticity
2308,Para ser una aplicación que casi todos utilizamos es muy pésimo. No puedo ingresar a hacer ningún movimiento ni ver mi saldo que pésima aplicacion,not_applicable
2309,"Muy pésima aplicación, me pidieron afiliarme al token digital para realizar mis transacciones y llega la clave SMS y se cierra la aplicación xD!!!",not_applicable
2310,"Es la peor aplicación de banca móvil que existe, siempre presenta fallas, sobre todo en la noche o fines de sema, pésima aplicación..",not_applicable
2311,"No funciona, sale en estos momentos no podemos procesar ya varios días así, desinstale e instale de nuevo y nada, por favor arreglen eso",not_applicable
2312,"Es la peor aplicación que existe, no me saca de ningún apuro. Tengo que estar yendo al banco a cada rato. Banco de la Nación es una perdida de tiempo",not_applicable
2313,No abre el aplicativo se queda en la pantalla en rojo hace perder el tiempo cuando necesitas hacer algún movimiento o trámite,not_applicable
2314,"Llevo más de 10 días tratando de instalar y no.abre la aplicación, se cierra en segundos. En conclusión no sirve para nada",not_applicable
2315,"Es un desastre está app, no entiendo cómo el Estado con tanta plata no pueden contratar a buenos desarrolladores y puedan dar un buen servicio y como la gente.",not_applicable
2316,"El mismo mensaje de 3 ingresos errados de la clave, no hay ninguna solución al problema, ni tiempo de espera para reiniciar.",authenticity
2317,Es muy desagradable cada vez que uno quiere entrar al aplicativo sale que está restringido y no se puede realizar ninguna operación bancaria.,not_applicable
2318,Para ser del estado deja mucho q desear... Pero habiendo tantos programadores y nada es la peor app del banco en pleno siglo 21 donde la tecnología es lo primordial... pesimooo,not_applicable
2319,"No funciona, me pide el token lo ingreso y me vuelve a pedir el token y así sucesivamente... Pésima aplicación. Es mejor abrir una cuenta en otro banco",not_applicable
2320,"La app en los últimos días no sirve, siempre sale un mensaje de error y veo que a la mayoría de personas les sale así, arreglen su app por favor",not_applicable
2321,"Una total burla, ¿como una app del banco de nuestra nación, del estado puede ser tan mala? No se roben el presupuesto e inviertan en actualizar adecuadamente la app",not_applicable
