id,Comentario,Clasificacion_ISO_25010
2401,Muy mal a pesar que anote mi clave dinámica bien me sale error por las puras eliminaron el *551# para que esto sea entendible no estoy de acuerdo con este aplicativo es un desastre,not_applicable
2402,"El peor aplicativo de bancos, siendo del estado, se nota que no le dan importancia, espero algún día lo mejoren, le doy 1 estrella porque es pésimo y tienes que esperar horas para poder ingresar",not_applicable
2403,"Trato de ingresar y la aplicación no funciona al abrir, sugiero la ayuda de ingresar al BN mediante este aplicación y ahorrar los minutos de estar haciendo mi fila, gracias.",not_applicable
2404,"Muy pésima app y encima lo trato de instalar me dice pendiente, traten de arreglar un poco para que así haya confiabilidad. Y me dice 3 ingresos errados, que debo de hacer",authenticity
2405,Se actualizó y ya no puedo escribir en sus casillas. Simplemente no funciona. Lo desinstalé y volví a instalar. Pero no se solucionó. Bastante mala la aplicación. Inviertan más en los desarrolladores,not_applicable
2406,No me deja nunca activar las compras por internet no me llega el mensaje de confirmacion un asco aveces sale error algunas veces me dice que tuve 3 intentos falsos un asco la app deberian mejorar .eso q estoy afiliado al token digital,authenticity
2407,Pesima aplicación no se puede realizar transacciones de ningun tipo ya que oide datos y termina fallando y saliendo del app... Donde estan esos programadores que justifiquen su sueldo que pesimo servicio,not_applicable
2408,No abre estoy intentando abrir y nunca abre esta aplicación 😕 por más intentos que haga no se puede abrir la desinstalo lo abuelo a instalar y no quiere abrir el App es una pena que esto no sirva para nada,not_applicable
2409,"Pésimo servicio uno quiere ver el estado de cuenta, le piden actualizar y al hacerlo sale que se hizo 3 intentos de error en la clave.",authenticity
2410,"Hola esta app, no abre y por más que la instalo y la vuelvo a desintalar sigue igual, espero una pronta respuesta de porque no carga el aplicativo y una solución.",not_applicable
2411,Pésimo servicio la aplicación Intento ingresar mi clave y me sale ya intenté 3 veces Después de un día ingresé se despareció mi fondo .... A trace vez de este aplicativo creoque están empezando robar los del banco ....🙁🙁,accountability
2412,"A cada rato sale el maldito mensaje de que en estos momentos el servicio está restringido, llevo más de 3 días con ese maldito problema, y no hay forma de solucionarlo",not_applicable
