ID,Comentario,Clasificacion_ISO_25010_2023,Justificacion
301,"Es un aplicativo muy importante que facelita la vida cotidiana",not_applicable,"Comentario positivo"
302,"que es muy bueno",not_applicable,"Comentario positivo"
303,"Muy bueno",not_applicable,"Comentario positivo"
304,"bien",not_applicable,"Comentario positivo"
305,"yo no he solicitado me interrumpe el adseso",not_applicable,"Problema de acceso no solicitado"
306,"es una buena aplicacion",not_applicable,"Comentario positivo"
307,"Horrible por que me obliga a bajar la aplicacion en todos mis equipos. La cuenta esta bloqueada y la necesito tengo dinero alli",accountability,"Cuenta bloqueada con dinero - obligación de actualizar en todos dispositivos"
308,"la mejor aplicación que hasta ahora me a resultado muy útil y muy rentable🌟👍",not_applicable,"Comentario positivo"
309,"No se actualiza fácil difícil de actualizar",not_applicable,"Dificultad en actualización"
310,"no puedo yapear, yape no es seguro es cuando al bcp le da la gana",not_applicable,"Crítica sobre dependencia de BCP"
311,"todo bien con la aplicación, pero por qué no dan la misma opción con el banco de caja Piura !??.",not_applicable,"Sugerencia de integración bancaria"
312,"No es una app segura es vulnerable",not_applicable,"Opinión general sobre seguridad"
313,"que está pasando con yape intento varias veces ingresar y no ase el ingreso normal como tiene que ser una solución por favor",not_applicable,"Problema de acceso repetitivo"
314,"a cada rato pide actualización y eso incómoda y ya fastidia",not_applicable,"Molestia por actualizaciones frecuentes"
315,"hola quiero actualizar mi yape pero ya no me deja entrar a yape que puedo hacer",not_applicable,"Problema de acceso para actualizar"
316,"Ahora tengo dinero",not_applicable,"Comentario ambiguo"
317,"hasta hace un mes yape era excelente, ahora va en decadencia, ahora puedo decir que es un asco",not_applicable,"Deterioro percibido del servicio"
318,"no puedo entrar no se como más de 30 minutos esperando y no entra para crear mi cuenta",not_applicable,"Demora extrema en creación de cuenta"
319,"buena app genera ahorros",not_applicable,"Comentario positivo"
320,"desde ayer no puedo ingresar a mi yape y no se las razones, según me comentaron es no puedo ingresar a mi yape desde ayer y no se el motivo segun me comentaron es por mi equipo de celular ( motorola g04 )",not_applicable,"Incompatibilidad con Motorola G04"
321,"No me compliques la vida, así nomas",not_applicable,"Molestia general"
