id,comentario,clasificacion_ISO_25010,banco
1,mucho problema y se pierde tiempo,not_applicable,INTERBANK
2,Lass claves dinámicas demoran hasta una hora en llegar,not_applicable,INTERBANK
3,"Hace días que me pide actualizar la APP, lo hago y me pregunta por mí dispositivo, le pongo OK y me dice que en breve se instalará la nueva versión y nunca lo hace. Desinstalé y volví a instalar la APP y no puedo ingresar porque me pide actualizar otra vez y vuelve a lo mismo y el ciclo se repite hasta agotarse. Un desastre",not_applicable,INTERBANK
4,"actualización del 03 de julio. Deja sin poder usar la aplicación, me indica el celular no es compatible. Llame a servicio de atención al cliente y no tienen mucha información al respecto. Solo indican que la app requiere Android 10 a más. Yo tengo Android 11 Motorola G9 play, sin embargo no funciona. Corrijan el error. Tuve que instalar en otro Celular versión de Android 9 y funciona normal.",not_applicable,INTERBANK
5,"pésima App de banca, llevo 2 años presentando el mismo reclamo que su aplicación no envía el código de operación en 3 diferentes dispositivos y hasta la fecha no lo solucionan.",not_applicable,INTERBANK
6,"los últimos 30 días se cuelga, no recibo el pin para las operaciones, no funcionan los beneficios, un desastre de aplicación los últimos días",not_applicable,INTERBANK
7,"he cambiado de celular y quiero cambiar mi contraseña de la aplicación, no me llega el código de verificación. pésimo voy 1 semana intentando y nada",authenticity,INTERBANK
8,pésimo,not_applicable,INTERBANK
9,"Desde hace 2 meses que no puedo entrar a girar la ruleta ya que cuento con un préstamo, cada vez que entro a la opción se cierra el app, ya la he desinstalado e instalado pero sigue con el mismo error, quiero una solución ofrecen cosas que no se puede usar.",not_applicable,INTERBANK
10,"Porque nos obligan a actualizar una versión supuestamente mejorada, ustedes son un excelente banco y debe ser lo mismo con su app.",not_applicable,INTERBANK
11,pésima app,not_applicable,INTERBANK
12,me aparece actualizar y ya esta actualizado,not_applicable,INTERBANK
13,"Esta empeorando su app para enviar dinero plin a yape en el momento aparece el recibo de enviado pero no gasta el saldo de dinero, es decir no se realiza el pago y eso genera desconfianza entre el comprador y proveedor piensan que se está queriendo estafarle, me paso en 3 oportunidades por eso mejor uso yape el plin genera desconfianza y malos ratos. 👎",integrity,INTERBANK
14,su clave dinamica no llega por eso no puedo hacer pagos de recibos😑,authenticity,INTERBANK
15,no me parece bien que me obligen a actualizar la aplicación.,not_applicable,INTERBANK
16,"Pésimo, no deja hacer transferencia, no permite hacer movimientos",not_applicable,INTERBANK
17,no se puede plinear sale erros,not_applicable,INTERBANK
18,"pésima aplicación, hay que estar actualizandola cada mes, eso es inaceptable!!! 👎🏻👎🏻",not_applicable,INTERBANK
19,No me deja plinear ni hacer transferencias,not_applicable,INTERBANK
20,no me carga la app que está pasando,not_applicable,INTERBANK
21,"En mi S24 ultra me pide actualizar y cuando doy en el botón, me manda directo a la play store y no hay actualizaciones disponibles. No puedo utilizar la app.",not_applicable,INTERBANK
22,"No está funcionanfo luego de la última actualización, me dice constantemente que actualice el app luego de haberlo hecho, de mal en peor el. Banco",not_applicable,INTERBANK
23,la clave dinámica demora demasiados minutos en llegar y cuando llega ya expiró. Esto se repite cíclicamente.,authenticity,INTERBANK
