id,comentario,clasificacion_ISO_25010,banco
7,"he cambiado de celular y quiero cambiar mi contraseña de la aplicación, no me llega el código de verificación. pésimo voy 1 semana intentando y nada",authenticity,INTERBANK
13,"Esta empeorando su app para enviar dinero plin a yape en el momento aparece el recibo de enviado pero no gasta el saldo de dinero, es decir no se realiza el pago y eso genera desconfianza entre el comprador y proveedor piensan que se está queriendo estafarle, me paso en 3 oportunidades por eso mejor uso yape el plin genera desconfianza y malos ratos. 👎",integrity,INTERBANK
14,su clave dinamica no llega por eso no puedo hacer pagos de recibos😑,authenticity,INTERBANK
23,la clave dinámica demora demasiados minutos en llegar y cuando llega ya expiró. Esto se repite cíclicamente.,authenticity,INTERBANK
26,desde que lo hackearon a Interbank Yano puedo abrir la aplicación,resistance,INTERBANK
29,"es la peor aplicación, en tema de seguridad es estupido igual que su gente ""sale notificacion porque es tema de seguridad""... que estupidez, me acaban de robar mi celular y tengo dinero en mi apk Interbank... desde otro celular intento entrar a mi cuenta y no me deja, le pongo mi escaneo de rostro y eso normal... pero a la hora del correo, pongo el codigo que llega y me dice la apk ""este codigo ys fue usado"" y asi varias veces hasta que dice ""llego al limite"" y su soporte nunca contesta,prueben",authenticity,INTERBANK
32,actualización pésima lo actualice hace dos días y los dos dias ya me dejó mal no puedo hacer transferencia ni plinear porque no me llega la clave dinámica porfa corrigen eso de lo contrario será cambiarse de banco,authenticity,INTERBANK
33,"Que estupidez de obligarme a cambiar contraseña cada vez que actualizan la aplicación. yo deberia de decidir cuando cambiarla, ademas te bloquea a seguir con otra contraseña si ya intentaste hacerlo una vez y no resultó, hasta el dia siguiente..... estan decepcionando.",authenticity,INTERBANK
36,"Mailisima, No llega la clave dinámica a tiempo",authenticity,INTERBANK
37,"es el segundo dia q me estan enviando mensajes en la barra de tareas del celular como si fuera su misma app para actualizar la aplicación,con su cuadradito logo de interbank, no la toqué e ingresé a playstore manualmente para ver si era cierto pero no hay ninguna actualizacion pendiente. esto da un poco de miedo,nose si seguiran hackeando.aclaro q puedo ingresar tranquilamente a mi app y ver mis productos sin problemas,pero es molesto ver esos mensajes q nose si es de la misma app o de alguien +",resistance,INTERBANK
39,pésima aplicación desmora en llegar la clave dinámica 3 minutos demora porque no se actualizan con las transferencias y plin con rapidez,authenticity,INTERBANK
46,"mejoren la banca móvil! en los detalles de los movimientos no se ve absolutamente nada o sea al menos pongan la cuenta de origen la cuenta de destino mínimo no¿?, como en otros bancos.",accountability,INTERBANK
47,"No me gusta que no se pueda tomar capturas de pantalla, eso es evidencia para nosotros, pésimo",non_repudiation,INTERBANK
50,"pésima aplicación, demora una eternidad en cargar la clave dinámica o en todo caso no carga nunca.",authenticity,INTERBANK
59,"deberían habilitar la opción de poner la descripción a cada movimiento, así facilita recordar el tipo de uso de cada transferencia o plin",accountability,INTERBANK
72,"la antigua versión era mejor ahora no puedo ingresar, sin la huella",authenticity,INTERBANK
80,"Mala experiencia. Antes estaba bien, pero luego cuando abría la app no me dejaba poner mi contraseña, de ahí tuve problemas para plinear que estaba todo lento y se demoraba. Hace dos días tuve una emergencia y tenía que hacer un pago importante y no pude, la clave dinámica no llegaba hasta que expirara sesión, quería volver a intentarlo y ya ni me cargaba que se cerraba sola la app, no sabía que hacer porque no traía tanto efectivo.. ni más",authenticity,INTERBANK
93,"Andaba bien la app. No se ven las compras virtuales ,ni transferencias a otro banco anteriormente demoraba pero si visualizabas ahora no ,da miedo.guardar dinero 💰. E Inviertan en un servidor de mayor capacidad para q no se caiga en momentos de alto tránsito como clientes deben otorgarnos buen servicio pq los clientes se han a ir a otros Bancos .Mejoren pfv es un punto constructivo.Gracias Por que tanta actualización si no funciona bien ????",integrity,INTERBANK
96,es un desastre el aplicativo nunca llega la clave dinamica,authenticity,INTERBANK
104,"está app es pésima, no confío, pues a veces demora tanto en hacer un plin pues no sale el codigo y me a pasado que luego sale y pago el doble. ahora tengo que pasarme a mi Yape para hacer algún pago y a veces ni eso se puede hacer",integrity,INTERBANK
106,horrible cuando quiero plinear no llega código después de 10 minutos llega código ya no sirve ya,authenticity,INTERBANK
110,"App complicada y lenta, el codigo muchas veces se demora o no llega nunca. realmente la utilizo solo por necesidad, por q no hay otra opcion",authenticity,INTERBANK
111,"Interbank me descontó 71,50 soles de mi cuenta alegando que fue una transacción que no se había realizado y nunca me los devolvieron, cerré mi cuenta y más nunca tendré nada que ver de nuevo con los ladrones de intercorp",integrity,INTERBANK
116,muy mala la app te da poco tiempo para ingresar tus datos una decepción la app no me gusta,authenticity,INTERBANK
117,"Hola, nunca me llegan las claves dinámicas y quedo mal con mis pagos , deberian chequear eso. Gracias.",authenticity,INTERBANK
121,es pésima la aplicación hace semanas estoy que intento cambiar mi contraseña no me llega el código de verificación a mi correo de mal a peor,authenticity,INTERBANK
124,"a mi no me deja registrarme, eso solamente tengo inconvenientes al ingresar al app de interbank",authenticity,INTERBANK
131,pésima experiencia...te bloquean sin Razón alguno perjudicando operaciones importantes...y lo peor que te dicen que llames a ciertos números donde si bien de desbloquean la tarjeta no te desbloquean en la aplicación que es lo que uno utiliza diariamente. por último la app te pide esperar 24 horas para volver a intentar! .... Que estamos locos señores!!! locos!. no lo recomiendo personalmente.,authenticity,INTERBANK
135,últimamente pésima el codigo de transferencia llega demasiado tarde cuando ya expiró la seción.,authenticity,INTERBANK
137,"la app venía funcionando bien ,pero desde que actualice la última versión el plin de la aplicación está pésima demora en llegar la clave dinámica,al final el tiempo expira y no se puede hacer trasferencias",authenticity,INTERBANK
138,"La app de este banco es el peor castigo que me ha tocado vivir. Definitivamente mi tiempo no es valioso, toma eternidades hacer pagos simples, la aplicación está plagada de bugs y el sistema de clave dinámica sencillamente no sirve. Me cambiaría de banco, pero mi trabajo me paga en las cuentas de este servicio basura. Una completa tragedia y una vergüenza de sistema, completamente disfuncional desde hace 2 años.",authenticity,INTERBANK
139,Nunca me llega el código de verificación a mi correo cuando intento cambiar de contraseña!!,authenticity,INTERBANK
140,"algo anda mal en la app, cuando hago plin, quiero compartir la captura, coloco compartir y se pone la pantalla negra y se sale de la aplicación. no estoy pudiendo enviame mis capturas",non_repudiation,INTERBANK
141,"Nunca llega el tokken digital, no deja realizar operaciones.",authenticity,INTERBANK
143,hola soporte de Interbank a app está horrible no puedo iniciar seción en la app me sale reconexión no hay red algo así porfavor si lo pueden solucionar es tedioso estar en los cajeros retirando dinero pero aún por las delincuencia que hay,authenticity,INTERBANK
145,estoy haciendo transferencias entre mis cuentas y no figuran que desastre,integrity,INTERBANK
152,nunca llega el codigo de verificación tengo que reinstalar constantemente,authenticity,INTERBANK
154,"la app está horrible no me deja Plinear, por más que ya entre mil veces, no reconoce el número ni los contactos, pésimo servicio.",authenticity,INTERBANK
157,Desde que actualizaron ya no funciona correctamente el plin y menos viene el codigo de verificación para realizar transacciones. Pésimo servicio,authenticity,INTERBANK
163,"acabo de hacer una transferencia de 50 soles desde mi cuenta Interbank , a mi cuenta BCP y no aparece el dinero transferido.",integrity,INTERBANK
168,"cada rato se cae el sistema,no llega rápido la clave dinámica para mi una completa estupidez",authenticity,INTERBANK
170,"te falla en el peor momento posible, gracias por bloquearme el acceso durante un pago clave que tenía que hacer y hacerme esperar un día entero...",authenticity,INTERBANK
176,"pésimo APP está última hace la operación y no te sale código automático y todas las operaciones te rechazan, antes era rápida y hacías varias operaciones",authenticity,INTERBANK
178,"una porquería la app. no puedo hacer ni transferencia ni plin, la clave digital demora en llegar demasiado",authenticity,INTERBANK
179,horrible de los horribles no me permite validar mi identidad esta tonteria no te dan ninguna solucion cuando vas a su Sede principal lo unico que te dicen es cambiar de telefono estan locos ellos deberían de solucionar por algo es su trabajo pésimo,authenticity,INTERBANK
180,"Realmente un servicio digital incompetente, quize pagar un producto y me bloquearon la tarjeta de AHORROS! Perdí una oportunidad y gané malestar, es preferible tener el dinero en efectivo. Como perjudica este banco!",authenticity,INTERBANK
187,"el mensaje de para realizar la operacion no llega... tienes que instalar y volver a instalar seguido, porque a veces llega bien y luego ya no...",authenticity,INTERBANK
213,"horrible, siempre está inhabilitado prácticamente secuestran mi dinero sin poder hacer ninguna transacción.",integrity,INTERBANK
218,El código llega tarde o nunca. Es la única App que siempre funciona muy mal.,authenticity,INTERBANK
223,"de verdad son una verdadera porquería, lento, con errores cada 2 días, no te llegan los códigos de verificación, son lo peor que hay por banca móvil, son el único banco que hacen ir a sus cliente al banco hacer transacciones que otros banco y app lo pueden hacer",authenticity,INTERBANK
225,"El app no siempre permite iniciar sesión, últimamente se crean bucles para iniciar sesión. Me he quedado esperando para poder pagar y he terminado usando mi efectivo.",authenticity,INTERBANK
227,"últimamente al realizar un plim o transferencia no aparece la clave dinámica, por lo tanto no hay forma de realizar una operación desde el telf.",authenticity,INTERBANK
228,Para actualizar la clave es un problema,authenticity,INTERBANK
230,reinstale la app y la función de cámara automática no funciona a pesar de no moverme y estar bien iluminado. el sensor de huellas digitales no reconoce mi huella y no encuentro la opción para reingresar mis huellas dactilar,authenticity,INTERBANK
232,"Está app deja mucho que desear ,no me sirve para plinear,ni hacer transferencias , pide clave dinámica que demora siglos en llegar y no puedo hacer más que ir a un agente y realizar mis pagos 😡",authenticity,INTERBANK
235,no se xq me blokean al querer comprar criptos,authenticity,INTERBANK
237,no me brindan la clave dinámica para generar mis pagos,authenticity,INTERBANK
238,llega el código de verificación después que se agota el tiempo de uso no se puede usar,authenticity,INTERBANK
239,"muy lenta,, horrible aplicación, ni para Plin, ni tranferencia, nunca llega clave, desespera,",authenticity,INTERBANK
242,"La app presenta fallas ya no se logra visualizar los movimientos de la tarjeta, la pantalla no se desliza para ver los movimientos. arreglen esos inconvenientes por favor.",accountability,INTERBANK
248,cuando inicio trabajaba bien ahora cada actualización simplemente dificulta las transacciones y esa clave dinámica es mejor cambiarse de banco a seguir lidiando con un sistema tan lento,authenticity,INTERBANK
249,"que pasa con la app interbank, no carga el código para poder plinear o transferir, ya lleva mucho tiempo con la fallaaaa!!!",authenticity,INTERBANK
252,"La app siempre tiene fallas con el plin , pide una clave dinámica que demora mucho en llegar",authenticity,INTERBANK
253,problemas con su clave dinámica demora mucho en aparecer y cuando llega ya caducó,authenticity,INTERBANK
254,"no sirve todo el tiempo está caída la plataforma, que mal banco, que mala aplicación aparte, que me quitaron dinero y no me devolvieron y sabes que es lo peor que no hay ni un solo registro, si no van a ofrecer una buena aplicación cierren el aplicativo y ya, y de paso cuando uno quiere hacer un pago no puede por la plataforma o aplicación está caída",integrity,INTERBANK
258,"si pudiera le doy en negativos. trabajar con este bando ya es complicado, su aplicativo no es intuitivo, no me gusta y lo considero una total perdida de tiempo hace dias abri una cuenta y me dice que la cue ta no existe. olvidare la idea de trbajar con este banco. no me agrada. prefiero trabajar con una caja",authenticity,INTERBANK
263,hasta ahora no le reembolsan el dinero que me descontaron hace una semana 🤬🤬🤬🤬😡😡😡😡,integrity,INTERBANK
267,está funcionando demasiado mal tardan mucho en enviar la clave dinámica,authenticity,INTERBANK
268,era buena la app hasta que restringieron el acceso por protocolo de seguridad dice el banco y me malograron pagar con plin ya que tuve que pagar en efectivo y dice que cada vez que quiero pagar con plin me pide foto de verificar si soy yo osea se juegan con un usuario antiguo ya no hay respeto y peor con la App de interbank tanto asi que me desafilie el plin,authenticity,INTERBANK
270,No me llega la clave dinámica,authenticity,INTERBANK
274,no funciona el biométrico,authenticity,INTERBANK
277,pésima no carga la clave dinámica creo que tienen que dar solución encima que pago seguro no me beneficia para nada,authenticity,INTERBANK
291,porque se bloquea mi APP Interbank,authenticity,INTERBANK
292,"pesima aplicación, tiene demasiados fallos de optimización y tuve que llamar varias veces a servicio al cliente porque la aplicación depositaba el dinero dos veces o a veces ni llegaba el pago pero se cobraba el monto. denle más atención a su app por favor",integrity,INTERBANK
294,porquería de app. demora en llegar la clave dinámica hasta más de 6 horas.,authenticity,INTERBANK
295,No puedo transferir me arroja error a cada rato por más que funciona el token arreglar eso tengo que intentar 20 veces y recién da.,authenticity,INTERBANK
296,la nueva actualización no me permite ingresar me dice error en su operación y solo quiero entrar a ver mi estado de cuenta,authenticity,INTERBANK
301,No me llega la clave dinamica,authenticity,INTERBANK
303,"Pesima aplicación la versión anterior era mejor , esta versión no lo puedo abrir y sale aplicación con error ....de verdad al programador que se ponga las pilas y corrija los errores porque solo puedo acceder por lo web... Aun sigue fallando la aplicación, ahora con la clave dinámica solo me llego una vez, quiero hacer otra transacción ya no llega, sugiero que tenga la opción que llegue por msm ,como otros bancos ya que automáticamente nunca me llega la clave🤨Lo peor que falla cada(15 y 30) mes",authenticity,INTERBANK
304,"Está aplicación no sirve para nada ,nunca llega clave dinámica y no se puede plinear grrre",authenticity,INTERBANK
310,"cuando hago una transferencia y me voy a los detalles del movimiento, hay datos esenciales que no aparecen como la cuenta de origen la cuenta de destino y/o el nombre de la persona de esa cuenta. No hay nada solo fecha y monto, en cualquier app de banco te muestran que esos datos son básicos cuenta de destino y cuenta origen",accountability,INTERBANK
311,"no envía claves dinámicas, se demora",authenticity,INTERBANK
319,"Actualizado el 12 de julio: terrible desempeño, demora más de 10 segundos en realizar las acciones, no se pueden ver los datos de la tarjeta porque la clave dinámica llega horas después (si es que siquiera llega), etc. El equipo de desarrollo de software tiene un sueldo de regalo. Con cada actualización motivan a buscar otra alternativa para banca por internet.",authenticity,INTERBANK
324,"se demora demasiado en recibir la clave dinámica, hasta media hora tiempo el cual ya expira la sesión y no puedo realizar transferencia, solucionen",authenticity,INTERBANK
325,no me deja validar la foto biométrica para cambiar mi contraseña 😡,authenticity,INTERBANK
328,"la app me acaba de comer 30 soles, 30 SOLES!! ayer en la noche revise y esa cantidad estaba intacta y ahora reviso y no hay, en el historial no aparece nada. siento que la app me acaba de robar el dinero y lo necesito de vuelta.",integrity,INTERBANK
330,Desde hace meses la aplicación demora minutos a horas en generar la clave dinámica para hacer transferencias o usar Plin.,authenticity,INTERBANK
331,hay ocasiones que la clave dinámica tarda demasiado en llegar 👎,authenticity,INTERBANK
332,"Clave dinámica no llega hasta que se sale de la app, y se reinicia la misma por si sola para luego tener el mismo problema solo que con notificación de la clave dinámica pasada tarde...",authenticity,INTERBANK
334,es un dolor de cabeza cuando haces transferencia No llega tu clave de transferencia demora mucho esta App se cuenta no llega la clave no pasa Nada,authenticity,INTERBANK
336,"pesimo, cada q quiero plinear no me llega la clave. prefiero usar yape",authenticity,INTERBANK
337,esta pésima esta app no puedo hacer ni un pago solo pide la clave dinámica la cual nunca llega y después de un largo rato llega la notificación cómo si ubiera pagado,authenticity,INTERBANK
338,Plin funciona muy mal se cuelgan los plin llegan las notificaciones y no se hacen las operación la ultima actualización es muy mala,integrity,INTERBANK
340,una porquería de app no puedo ingresar porque no toma la foto para reconocimiento y es demasiado engorrosa un fastidio la verdad,authenticity,INTERBANK
342,"La app demora en recibir la clave dinámica, estuve con el mismo problema durante 6 meses, me harté y me cambié al BCP, recomendado BCP.",authenticity,INTERBANK
345,"los códigos de verificación llegan 1 hora después, arreglen eso",authenticity,INTERBANK
346,"Pésima app desde sus últimas actualizaciones quedo más lenta y pesada no puedo transferir ni plinear x que nunca llega la clave dinámica y si llega se demora un montón pésimo servicio con la app, mejor me voy a cambiar de banco y moveré todo mi dinero y cuentas de ahorro ya que no me sirve de nada esta app.",authenticity,INTERBANK
347,"La app estaba bien hasta que se actualizo y no se puede ver los movimientos, te saca del app y tienes que volver a entrar",accountability,INTERBANK
349,"no me llega el dinero cuando me plinean ,😡😡",integrity,INTERBANK
