id,review,confidentiality,integrity,non_repudiation,accountability,authenticity,resistance,not_applicable
1,"Parece increíble, pero no puedo ver las operaciones completas del día, solo una cantidad limitada, si sobre paso ese número, el resto de las operaciones las podré ver al siguiente día con el filtro, pero si necesito confirmar un depósito que me hicieron temprano. No puedo porque como hay un montón de yapes, esa fila ya no se visualiza, otro punto es que antes podías ver el número de operación de una transacción, ahora ya no. Por favor corregir",0,0,1,0,0,0,0
2,"Normalmente funciona bien, muy raras veces da fallas y debes actualizar. En la última actualización obligan a utilizar bloqueo de pantalla de inicio, deberían eliminar esa opción porque muchos no usamos bloqueo de pantalla y si no tienes no puedes utilizar la app. Seria bueno que habiliten la opción de patron a nivel de aplicativo y no general",0,0,0,0,1,0,0
3,"Asegurar que los sistemas de reconocimiento facial funcionen correctamente y de manera eficiente para verificar la identidad del usuario de manera fiable sin causar frustraciones o barreras innecesarias al acceso",0,0,0,0,1,0,0
4,"No permite generar el token digital (para poder usarlo en la web), hay operaciones las cuales yo no quiero realizar por celular y necesito hacerlas por la web, y para eso se necesita generar tokens, cada vez que se termina de ingresar la clave, la aplicación se cierra o simplemente regresa a la misma pantalla. Además el sistema del celular ya me indicó en repetidas veces que la aplicación está consumiendo demasiada batería.",0,0,0,0,1,0,0
5,"Desde la actualización tengo problemas con la app, no recibo notificaciones cuando me hacen un depósito o alguna transacción… espero puedan solucionar ese pequeño inconveniente y si hubiera menos de una estrella se lo pondría por el pésimo servicio, sigo esperando la respuesta de que es la falla porque no me llegan las notificaciones.",0,1,0,0,0,0,0
6,"Todo bien con la app, pero su sistema de notificaciones no se arregla llevo varios días sin que me notifiquen las transferencias que se hacen o quien deposita, me acaban de robar plata de mi cuenta hace 2 días y llamo al banco no me dan solución, y recién vengo a dar cuenta. Ojalá mejoren su sistema de notificaciones y sus bug que tiene cuando se intenta iniciar sesión.",0,0,1,0,0,0,0
7,"Pésimo lo que han hecho con la actualización. A quien le interesa que tengamos un bloqueo de pantalla para ingresar a su app",0,0,0,0,1,0,0
8,"Pésimo, la app se me cerró luego de realizar una transferencia y no logré tomar captura de la transacción. Tampoco me llega al correo la notificación, pero si me debitaron el dinero. Me encuentro en el extranjero y no puedo ir al banco Qué les cuesta colocar la referencia de la transacción en el resumen de movimientos",0,1,0,0,0,0,0 
9,"Una estrella porque no hay menos cantidad (negativo) al ingresar al App todo bien, pero al salir del App, se bloquea el celular y no permite ni avanzar ni retroceder. Tengo que estar cerrando todo y eso consume mucha batería al volver iniciar una App ya antes abierta.",0,0,0,0,1,0,0
10,"Como usuario nuevo debo comentar que la app está fatal. No se puede crear clave web ni token porque no reconoce el rostro. Me la he pasado más de una semana en este proceso de intentar acceder a la app y otra que nuevamente pide clave y foto para crear token. Pésima la app y ni hablar de la atención al cliente de esta entidad bancaria, no ayudaron en nada. (Estoy así por el trabajo ya que cambiaron de banco, de lo contrario nunca tuviese una tarjeta como esta)",0,0,0,0,1,0,0
