id,comentario
1,no quiere fuccionar mis trasferencias
2,bueno
3,"Aplicativo lleno de problemas, puntualmente no permite validar los códigos que supuestamente se le envían a la app para validar en transacciones que se hacen por la web..."
4,"Desde hace un mes se actualizo el App y desde ahí no me permite ingresar al App, se cierra solo e intento nuevamente y sigue igual, ya reinicie mi cel, borre el cache, desintale y volví instalar el App y sigue igual, pésimo la última actualización del App."
5,genial
6,porquería de aplicación .
7,"No puedo ingresar al aplicativo, antes ingresaba normalmente"
8,"Por que cuando intento cambiar mi clave pin, me dice que ocurrió un problema. Siempre dice los mismo."
9,"¿Por qué Temu me procesó una compra si mi tarjeta estaba configurada en NO para compras por Internet?. Además, ¿por qué luego de anular esa compra al instante en Temu y reembolsar al banco, el BCP me demora hasta un mes en devolver a mi saldo ese monto, si ya el banco lo tiene desde el día 1?."
10,está porquería se comió todo mi plata en los guardaditos y ahora que está fallando no puedo sacar nada de dinero
11,"no me permite realizar transferencias interbancarias, antes si lo podía hacer"
12,Buena
13,tengo la aplicación actualizada y sin embargo no deja realizar los pagos efectivo. pesimo...
14,es una app que no sirve ni para nada un asco la app bcp
15,el app no abre
16,"La aplicación la funciona, se cierra solo no deja entrar"
17,alguna solución está que se cierra no deja hacer nada uno entra y me vota ayuda
18,Siempre se bloquea o solo sale la pantalla azul
19,La app ya no abre.
20,no sé porque no se me activa la compra por internet y tampoco puedo realizar una transferencia a la aplicación kashin
21,"hoy comenzó a fallar el app se cierra solo y sale q CONTINÚA FALLANDO, mi cel es Motorola one macro ni reiniciando funciona, por favor ayuden no se q sucede"
22,Su Gafera no da y ds cuando quiere
23,No puedo hacer transferencias o habilitar las compras por internet. Horrible que al comunicarme con su canal de ayuda solo me responda un bot y no haya respuesta inmediata
24,"El app no me deja entrar, la memoria cache esta en 0 y tengo espacio en mi teléfono, y no sale que debo actualizar."
25,tengo problemas con la app se congela y se cierra y en whatsapp no me ayudan ya hice de todo esta todo actualizado y aún así sigue fallando
26,está interesante el aplicativo
27,hay un problema no deja hacer transferencias bancarias o depósito bancario
28,"Tengo problemas en abrir el aplicativo, se cierra inmediatamente."
29,"No me pertime abrir la aplicación, se cierra instantáneo."
30,"no puedo hacer transferencia, sale ocurrió error ya son 3 días"
31,siempre que quiero entrar se anda colgando la app y tengo que esperar 5 minutos para volver a abrirla
32,"Cada vez que trato de abrir la app se cierra sola, no me aparece el menú ni mensaje de error"
33,No puedo habrir la aplicación. Que problema
34,buenas
35,"la aplicación no quiere abrir se cierra inmediatamente y no puedo acceder a mi cuenta ,solucionar"
36,"el peor bano te cobran en silencio por algo que no has echo, el 21 de este mes me descontaron 25 soles y ese mismo día otros 25 y dice ahí que es por reposición débito, si no me devuelven el dinero voy a denunciar su empresa y juro que ustedes van perder más dinero que yo"
37,se cuelga a cada momento
38,Buena
39,no puedo abrir la app la e descargado y eliminado varias veces y nada como se podría solucionar?
40,"Venia muy bien la app pero desde hoy cuando intento abrirla se cierra automáticamente, intente varias veces y nada, espero puedan solucionarlo en la brevedad."
41,El app dejo funcionar en mi Huawei p20 pro. Antes de la actualización de Julio funcionaba sin problemas ahora no abre el app. Arreglen eso por favor
42,Necesitaba actualizar la información de mi correo y me salía error. Estoy volviendo a instalarla para ver si se resuelve. A alguien más le pasa eso?
43,"se está haciendo muy lento , y aveces las funciones no funcionan"
44,la app está fallando y no puedo ingresar dinero a warda
45,"tengo problemas para hacer transferencia a terceros, por favor solucionen lo más pronto posible porque es incómodo ir hasta la agencia."
46,Yo también estoy pasando x el mismo problema
47,"Déjenme sacar el dinero de mi warda, se me regresa la página"
48,no se quiere abrir la aplicacion se cierra nomas incombeniencias con esta aplicacion
49,"siempre me salen problemas al realizar pagos como""inténtaloen unos minutos"""
50,"Eh actualizado a la última versión y cuando quieres agregar dinero en los wardaditos, aparece el bug y se cierra el app.... 😤"
51,tiene falla el chanchito
52,"Intento ingresar a la app y se cierra mucho antes de mostrarse la pantalla de login, celular Huawei"
53,Hola hace tres días no puedo abrir mi app Bcp. se cierra inmediatamente cuando toco el logo bcp
54,Cada vez que trato de ingresar a la app se cierra automáticamente sin poder abrirla muy mal
55,ya son 2 dias que no puedo abrir el app
56,Estoy tratando de abrir la aplicación y abre y se cierra inmediatamente. Agradeceré solucionar el problema.
57,Después de esta última actualización no me permite ingresar a la App???
58,"No puedo entrar a la aplicación, simplemente trato de entrar y desaparece ni siquiera me da la opción de ingresar mis datos"
59,No me deja descargar la aplicación sale que no es compatible deberían tener en cuenta eso
60,para la narración del depocito o mensaje opcional es tan corta que no deja explicar el contenido del depocito muy mala la aplicación 👎
61,hasta las webas todas mis cuentas de pueden visualizar desde una sola y no hay independencia de ellas...cuando separen cada cosa tal vez volveré
62,No me permite hacer los pagos de a la universidad 😞
63,"Mi aplicación no abre, solo se cierra"
64,nunca había tenido problemas sien embargo hoy intenté hacer una operación de transferencia y la intentar abrir mi token me manda al inicio de la app no me muestra el token. y cuando intento hacer una transferencia me dice BM9999 ha ocurrido un error en el servicio. algo que es triste ya que necesitaba hacer esa transferencia no hay explicación de nada no me llegó ningún correo y lo peor la app está actualizada sin problemas
65,no se puede ingresar nada...
66,"Llevo dias qué no puedo descargar mi banca móvil BCP, estaba funcionando muy bien, hasta que me pidió actualizar y se queda cargando hasta 25% y no levanta."
67,"no deja actualizar o modificar nada, ni token ni nada totalmente inútil"
68,Hay inconvenientes con el app de bcp?... No permite ingresar al aplicativo y se cierra automáticamente 😨
69,"La app estaba muy bien, pero con estas 2 últimas actualizaciones ya no recibo Notificaciones Push de las transferencias que me hacen!! solo recibo notificacion de novedades, ofertas y promociones. Ya reinicié el telefono, reinstalé la app incluso restablecí a fabrica mi telefono, pero el error persiste. Brindenme una solucion por favor"
70,Todo iba perfecto ninguna queja sobre la app pero como hace dos semanas no me deja pagar servicios ni hacer un yape desde la aplicación creí que sería por unos días pero ya pasaron casi dos semanas y sigue igual A que se debería ese problema?
71,buena
72,"al momento de querer habilitar el token ni siquiera me permite tomar la foto, porque ni siquiera está el botón de cámara en la pantalla! solo aparece la x para cerrar esa pestaña, de verdad, cómo programan esta aplicación?"
73,No funciona mi app
74,acabo de actualizar y no me permite hacer transferencia a otras cuentas de otros bancos. necesito una ayuda para poder realizar todas las operaciones.
75,"Hace días no permite hacer transferencias,ni pagos de servicios..."
76,funciona pero ando está fallando
77,"Tengo una duda e ingreso al bcp chat de WhatsApp y se demoran en responder a mi consulta, pésimo servicio"
78,ESTOY TRATANDO DE INGRESAR A LA APP Y NO PERMITE.... CARGA Y LUEGO SE CIERRA.... ALGUIEN QUE PRESENTE LA MISMA SITUACIÓN.... OH QUE SOLUCIÓN HAY?
79,Desde el sábado no puedo ingresar a la app del BCP. Han actualizado la versión por otra más actual???
80,"El app presenta fallas casi siempre, se queda cargando con la pantalla azul que dice BCP y no hay cuando se pueda poner la clave para el acceso, tengo que cerrar la app cada vez. Un detalle importante, no te muestran cuanto desgravamen te cobran mensual por el uso de tarjeta de crédito, actualmente otros bancos de perú ya tienen esa opción en su banca móvil, Pero BCP no está corrigiendo .. pd: Hay que descargar el estado de cuenta de cada mes par tener que ver cuanto desgravamen te cobran"
81,"la aplicación es buena, PERO NO PUEDO PAGAR ESCANEANDO EL QR DEL BANCO BBVA CONTINENTAL , ES MUY FRUSTRANTE IR A VARIOS ESTABLECIMIENTOS Y QUE TENGAN SOLO EL QR BBVA Y ESTA APLICACION SIMPLEMENTE NO LEE EL QR, DONDE QUEDO LA INTEROPERATIVIDAD."
82,No puedo abrir mi aplicacion
83,"Aplicativo basura, ingreso al aplicativo y se cierra solo. Arreglenlo hagan algo decente."
84,No puedo activar y desactivar las compras por internet desde el app 😡
85,excelente
86,"la app se cuelga últimamente y se cierra, no puedo hacer ninguna operación, no cambiaré mi puntaje hasta que no resuelvan el inconveniente"
87,"últimamente está fallando muchas veces, no permite el acceso al app"
88,"Salvo alguna ocasion funciona bien, pero no entiemdo para que incluyeron los beneficios en la app, con tanta inseguridad yo no saco el telefono donde la tengo instalada a la calle igual hacen muchas personas, ahora no puedo usar los beneficios, es como que quisieran que no los usemos."
89,No apertura la aplicación
90,"Deberían permitir, realizar giros nacionales desde el app, así mismo poder tener acceso al historial de operaciones, mediante descarga en PDF al correo afiliado en el app."
91,"Tengo problemas en abrir la aplicación hace 2 días, tengo por hacer transferencias y no puedo. Por favor ayúdenme"
92,mejorar el guardadito no tiene sentido habilitarlo y va seguir reflajando el saldo
93,NO puedo hacer yapes del aplicativo BCP
94,es muy buena
95,terrible en estos momentos no funcionan
96,la peor banca móvil 😡
97,"Me molesta tanto cambio a cada rato y tanta clave, demasiada perdida de tiempo para el usuario."
98,no pued transferir dinero sale error
99,"Si aplicación no sirve, el token digital se para desicronizando y no te deja transferir dinero, para solucionarlo tienes que reinstalar la app y si quieres hacer transferencias tienes que esperarte hasta el día siguiente ya que al de sincronizarse detecta como actividad sospechosa cada transferencia fallida y suspende tu cuenta por 24 horas."
100,hace una semana que no puedo hacer ninguna transferencia
